transaction_id,account_id,device_id,ip_id,payment_token_id,merchant_id,amount,currency,txn_type,event_timestamp,ingestion_timestamp
txn_000975,acct_000865,device_000323,ip_000491,token_001161,merchant_000024,56.46,USD,purchase,2025-01-03T21:20:01,2025-01-03T21:21:06
txn_002720,acct_000274,device_000413,ip_000099,token_001097,merchant_000070,52.8,USD,purchase,2025-01-03T22:25:45,2025-01-03T22:26:28
txn_003672,acct_000816,device_000391,ip_000381,token_000147,merchant_000070,24.43,USD,purchase,2025-01-04T08:57:19,2025-01-04T08:57:45
txn_000638,acct_000286,device_000480,ip_000452,token_000939,merchant_000036,101.04,USD,purchase,2025-01-04T13:00:18,2025-01-04T13:03:58
txn_001363,acct_000357,device_000492,ip_000279,token_000974,merchant_000026,9.87,USD,purchase,2025-01-04T17:52:34,2025-01-04T17:53:22
txn_002597,acct_000110,device_000048,ip_000320,token_000487,merchant_000067,109.78,USD,purchase,2025-01-04T18:08:00,2025-01-04T18:11:07
txn_003978,acct_000019,device_000061,ip_000439,token_000310,merchant_000018,34.53,USD,purchase,2025-01-04T18:55:07,2025-01-04T18:55:56
txn_001344,acct_001094,device_000029,ip_000136,token_000594,merchant_000041,47.56,USD,purchase,2025-01-04T20:03:14,2025-01-04T20:05:58
txn_000653,acct_000119,device_000244,ip_000119,token_000189,merchant_000076,3.19,USD,purchase,2025-01-04T21:40:10,2025-01-04T21:43:58
txn_001895,acct_000080,device_000195,ip_000031,token_000630,merchant_000038,20.03,USD,purchase,2025-01-04T23:39:20,2025-01-04T23:42:12
txn_000168,acct_000118,device_000180,ip_000328,token_001013,merchant_000057,4.76,USD,purchase,2025-01-05T03:49:41,2025-01-05T03:53:07
txn_004016,acct_000024,device_000489,ip_000136,token_000740,merchant_000048,8.2,USD,purchase,2025-01-05T08:10:55,2025-01-05T08:12:06
txn_003270,acct_000052,device_000557,ip_000127,token_000218,merchant_000025,33.41,USD,purchase,2025-01-05T10:35:37,2025-01-05T10:37:16
txn_004169,acct_000086,device_000013,ip_000001,token_001072,merchant_000015,34.19,USD,purchase,2025-01-05T11:43:21,2025-01-05T11:46:11
txn_000274,acct_000972,device_000269,ip_000075,token_001087,merchant_000056,3.43,USD,purchase,2025-01-05T14:34:17,2025-01-05T14:35:55
txn_003654,acct_000152,device_000505,ip_000156,token_000902,merchant_000076,12.79,USD,purchase,2025-01-05T14:36:51,2025-01-05T14:40:04
txn_000468,acct_000663,device_000178,ip_000008,token_000824,merchant_000041,16.67,USD,purchase,2025-01-05T15:40:28,2025-01-05T15:40:45
txn_002560,acct_000620,device_000208,ip_000045,token_000050,merchant_000080,22.95,USD,purchase,2025-01-05T16:04:39,2025-01-05T16:07:02
txn_003144,acct_000786,device_000159,ip_000481,token_000347,merchant_000020,46.43,USD,purchase,2025-01-05T16:04:43,2025-01-05T16:05:36
txn_000898,acct_000517,device_000223,ip_000262,token_000049,merchant_000040,12.76,USD,purchase,2025-01-05T19:12:24,2025-01-05T19:13:50
txn_002679,acct_000166,device_000119,ip_000286,token_001055,merchant_000020,31.22,USD,purchase,2025-01-05T23:55:34,2025-01-05T23:57:24
txn_003267,acct_000306,device_000306,ip_000323,token_000524,merchant_000035,38.45,USD,purchase,2025-01-06T01:27:17,2025-01-06T01:27:43
txn_000654,acct_000119,device_000244,ip_000119,token_000189,merchant_000076,-3.19,USD,refund,2025-01-06T05:40:10,2025-01-06T05:43:39
txn_000530,acct_000044,device_000130,ip_000080,token_000705,merchant_000065,47.51,USD,purchase,2025-01-06T07:13:02,2025-01-06T07:15:56
txn_002527,acct_000302,device_000265,ip_000127,token_000899,merchant_000070,10.37,USD,purchase,2025-01-06T15:59:17,2025-01-06T16:02:43
txn_003818,acct_000331,device_000446,ip_000346,token_000506,merchant_000046,122.75,USD,purchase,2025-01-06T16:41:45,2025-01-06T16:44:25
txn_001444,acct_000751,device_000361,ip_000239,token_001026,merchant_000005,10.6,USD,purchase,2025-01-06T17:17:52,2025-01-06T17:21:35
txn_002361,acct_001028,device_000465,ip_000199,token_000212,merchant_000044,322.35,USD,purchase,2025-01-06T18:48:44,2025-01-06T18:50:56
txn_003973,acct_000033,device_000066,ip_000381,token_001005,merchant_000062,18.71,USD,purchase,2025-01-06T20:30:29,2025-01-06T20:31:20
txn_003182,acct_000421,device_000044,ip_000436,token_000694,merchant_000025,139.55,USD,purchase,2025-01-06T20:51:44,2025-01-06T20:55:32
txn_003492,acct_000627,device_000080,ip_000033,token_000434,merchant_000045,213.18,USD,purchase,2025-01-06T23:42:06,2025-01-06T23:45:28
txn_001184,acct_000446,device_000462,ip_000361,token_001132,merchant_000014,52.8,USD,purchase,2025-01-07T01:07:08,2025-01-07T01:11:02
txn_000291,acct_000084,device_000137,ip_000052,token_000771,merchant_000021,64.09,USD,purchase,2025-01-07T01:41:06,2025-01-07T01:42:19
txn_003489,acct_000284,device_000288,ip_000436,token_000134,merchant_000029,5.91,USD,purchase,2025-01-07T01:59:15,2025-01-07T02:02:49
txn_001783,acct_000836,device_000216,ip_000421,token_000244,merchant_000072,3.6,USD,purchase,2025-01-07T02:07:22,2025-01-07T02:07:26
txn_002638,acct_001095,device_000214,ip_000200,token_000909,merchant_000056,19.91,USD,purchase,2025-01-07T03:54:37,2025-01-07T03:55:03
txn_000981,acct_000156,device_000281,ip_000275,token_001120,merchant_000054,26.3,USD,purchase,2025-01-07T08:19:53,2025-01-07T08:23:17
txn_001565,acct_000788,device_000076,ip_000379,token_001095,merchant_000039,6.3,USD,purchase,2025-01-07T09:16:05,2025-01-07T09:18:28
txn_002878,acct_000784,device_000448,ip_000046,token_000474,merchant_000037,48.92,USD,purchase,2025-01-07T11:09:04,2025-01-07T11:11:52
txn_002293,acct_000244,device_000528,ip_000140,token_000761,merchant_000053,34.05,USD,purchase,2025-01-07T11:15:58,2025-01-07T11:16:37
txn_004181,acct_000112,device_000050,ip_000052,token_000669,merchant_000046,34.1,USD,purchase,2025-01-07T11:56:12,2025-01-07T11:56:13
txn_002055,acct_000829,device_000308,ip_000037,token_000009,merchant_000050,9.9,USD,purchase,2025-01-07T13:43:07,2025-01-07T13:46:35
txn_002022,acct_001055,device_000135,ip_000143,token_000839,merchant_000032,75.67,USD,purchase,2025-01-07T18:38:25,2025-01-07T18:41:36
txn_003423,acct_000086,device_000308,ip_000370,token_000604,merchant_000044,498.03,USD,purchase,2025-01-07T21:33:33,2025-01-07T21:35:54
txn_001413,acct_000427,device_000224,ip_000002,token_000125,merchant_000003,28.42,USD,purchase,2025-01-08T01:23:28,2025-01-08T01:26:52
txn_002883,acct_000533,device_000366,ip_000109,token_001212,merchant_000071,132.57,USD,purchase,2025-01-08T01:25:59,2025-01-08T01:29:14
txn_001590,acct_000110,device_000136,ip_000460,token_001016,merchant_000035,304.25,USD,purchase,2025-01-08T04:27:25,2025-01-08T04:29:27
txn_000660,acct_000174,device_000062,ip_000143,token_000787,merchant_000064,74.63,USD,purchase,2025-01-08T07:40:49,2025-01-08T07:41:01
txn_004170,acct_000084,device_000017,ip_000002,token_000796,merchant_000079,20.75,USD,purchase,2025-01-08T08:05:09,2025-01-08T08:07:51
txn_003137,acct_000014,device_000503,ip_000102,token_000457,merchant_000048,66.57,USD,purchase,2025-01-08T09:08:23,2025-01-08T09:09:47
txn_000389,acct_001052,device_000500,ip_000119,token_000125,merchant_000068,19.78,USD,purchase,2025-01-08T09:16:33,2025-01-08T09:16:50
txn_003647,acct_000966,device_000377,ip_000048,token_000051,merchant_000005,50.69,USD,purchase,2025-01-08T12:20:09,2025-01-08T12:23:50
txn_001068,acct_000844,device_000134,ip_000306,token_000281,merchant_000045,27.53,USD,purchase,2025-01-08T13:24:12,2025-01-08T13:27:56
txn_001139,acct_000995,device_000479,ip_000064,token_000517,merchant_000005,46.4,USD,purchase,2025-01-08T15:07:52,2025-01-08T15:08:53
txn_003505,acct_000633,device_000383,ip_000173,token_000432,merchant_000004,8.97,USD,purchase,2025-01-08T15:41:33,2025-01-08T15:44:52
txn_003445,acct_001081,device_000508,ip_000102,token_000130,merchant_000038,145.1,USD,purchase,2025-01-08T18:54:10,2025-01-08T18:57:46
txn_003084,acct_000203,device_000409,ip_000473,token_000561,merchant_000030,68.51,USD,purchase,2025-01-08T22:47:57,2025-01-08T22:48:32
txn_003791,acct_000114,device_000369,ip_000015,token_000715,merchant_000080,59.98,USD,purchase,2025-01-09T02:03:24,2025-01-09T02:05:14
txn_003266,acct_000097,device_000474,ip_000148,token_000427,merchant_000075,103.46,USD,purchase,2025-01-09T02:31:10,2025-01-09T02:35:06
txn_003741,acct_001111,device_000538,ip_000155,token_000300,merchant_000003,84.7,USD,purchase,2025-01-09T02:34:13,2025-01-09T02:36:58
txn_003021,acct_000199,device_000392,ip_000029,token_000756,merchant_000072,172.7,USD,purchase,2025-01-09T04:18:18,2025-01-09T04:21:10
txn_000358,acct_000297,device_000372,ip_000244,token_000754,merchant_000040,443.71,USD,purchase,2025-01-09T04:25:33,2025-01-09T04:25:42
txn_000471,acct_000477,device_000516,ip_000301,token_000028,merchant_000030,205.84,USD,purchase,2025-01-09T05:43:22,2025-01-09T05:44:42
txn_002454,acct_000341,device_000471,ip_000282,token_000874,merchant_000067,1.91,USD,purchase,2025-01-09T06:55:09,2025-01-09T06:59:05
txn_003369,acct_001042,device_000374,ip_000404,token_000164,merchant_000079,6.9,USD,purchase,2025-01-09T09:37:19,2025-01-09T09:39:48
txn_002967,acct_000071,device_000354,ip_000245,token_001124,merchant_000078,63.72,USD,purchase,2025-01-09T19:31:25,2025-01-09T19:34:25
txn_001069,acct_000330,device_000579,ip_000359,token_000137,merchant_000034,16.33,USD,purchase,2025-01-09T19:54:22,2025-01-09T19:56:39
txn_001118,acct_000334,device_000216,ip_000447,token_001169,merchant_000012,107.14,USD,purchase,2025-01-09T20:53:22,2025-01-09T20:54:05
txn_001568,acct_000486,device_000030,ip_000074,token_000748,merchant_000018,33.42,USD,purchase,2025-01-10T01:13:22,2025-01-10T01:16:19
txn_000893,acct_000811,device_000020,ip_000262,token_000594,merchant_000064,70.6,USD,purchase,2025-01-10T03:09:29,2025-01-10T03:11:50
txn_001424,acct_000449,device_000057,ip_000136,token_000874,merchant_000053,13.91,USD,purchase,2025-01-10T03:19:50,2025-01-10T03:20:13
txn_001765,acct_000773,device_000018,ip_000164,token_000177,merchant_000076,29.06,USD,purchase,2025-01-10T08:30:50,2025-01-10T08:31:44
txn_000892,acct_000535,device_000233,ip_000123,token_000116,merchant_000072,12.29,USD,purchase,2025-01-10T09:47:42,2025-01-10T09:48:22
txn_002403,acct_000685,device_000339,ip_000379,token_000227,merchant_000074,76.05,USD,purchase,2025-01-10T12:49:15,2025-01-10T12:50:34
txn_003584,acct_000495,device_000349,ip_000121,token_001181,merchant_000012,11.21,USD,purchase,2025-01-10T12:54:09,2025-01-10T12:55:07
txn_003441,acct_001061,device_000239,ip_000139,token_000546,merchant_000029,4.63,USD,purchase,2025-01-10T13:46:44,2025-01-10T13:49:41
txn_002130,acct_000301,device_000116,ip_000002,token_000691,merchant_000029,23.48,USD,purchase,2025-01-10T15:59:47,2025-01-10T16:03:43
txn_002300,acct_001079,device_000571,ip_000388,token_000383,merchant_000071,11.72,USD,purchase,2025-01-10T19:16:30,2025-01-10T19:18:52
txn_001101,acct_000244,device_000085,ip_000416,token_000877,merchant_000043,60.77,USD,purchase,2025-01-10T20:42:19,2025-01-10T20:43:18
txn_002628,acct_000352,device_000267,ip_000167,token_000403,merchant_000010,39.09,USD,purchase,2025-01-10T23:38:40,2025-01-10T23:39:45
txn_003245,acct_000039,device_000364,ip_000127,token_000790,merchant_000042,13.23,USD,purchase,2025-01-11T01:14:58,2025-01-11T01:17:13
txn_003353,acct_000021,device_000312,ip_000129,token_000934,merchant_000048,5.18,USD,purchase,2025-01-11T04:26:47,2025-01-11T04:30:22
txn_002746,acct_000730,device_000538,ip_000010,token_000392,merchant_000029,27.64,USD,purchase,2025-01-11T05:08:17,2025-01-11T05:11:48
txn_000820,acct_000084,device_000252,ip_000281,token_000318,merchant_000036,23.05,USD,purchase,2025-01-11T05:41:07,2025-01-11T05:42:04
txn_002151,acct_000729,device_000455,ip_000131,token_000544,merchant_000043,32.79,USD,purchase,2025-01-11T09:52:47,2025-01-11T09:54:39
txn_002529,acct_000379,device_000075,ip_000080,token_000511,merchant_000001,28.52,USD,purchase,2025-01-11T10:23:23,2025-01-11T10:26:12
txn_002098,acct_000589,device_000298,ip_000404,token_000679,merchant_000071,6.76,USD,purchase,2025-01-11T16:01:57,2025-01-11T16:02:34
txn_001955,acct_000533,device_000392,ip_000344,token_000276,merchant_000022,76.65,USD,purchase,2025-01-11T20:03:31,2025-01-11T20:05:45
txn_001382,acct_000492,device_000483,ip_000249,token_000373,merchant_000059,106.96,USD,purchase,2025-01-11T22:35:30,2025-01-11T22:37:18
txn_003055,acct_000858,device_000437,ip_000104,token_000847,merchant_000065,23.15,USD,purchase,2025-01-12T05:46:24,2025-01-12T05:50:00
txn_003162,acct_000693,device_000103,ip_000106,token_000454,merchant_000017,33.47,USD,purchase,2025-01-12T09:15:56,2025-01-12T09:16:11
txn_001425,acct_000875,device_000071,ip_000180,token_000184,merchant_000017,36.5,USD,purchase,2025-01-12T09:42:08,2025-01-12T09:44:25
txn_001188,acct_000310,device_000116,ip_000331,token_001126,merchant_000064,8.05,USD,purchase,2025-01-12T16:23:56,2025-01-12T16:27:42
txn_000559,acct_000152,device_000489,ip_000429,token_001217,merchant_000021,11.29,USD,purchase,2025-01-12T17:21:05,2025-01-12T17:22:08
txn_002163,acct_000058,device_000429,ip_000172,token_000517,merchant_000067,49.8,USD,purchase,2025-01-12T18:00:22,2025-01-12T18:04:19
txn_002514,acct_000399,device_000068,ip_000285,token_000929,merchant_000029,50.53,USD,purchase,2025-01-12T18:36:50,2025-01-12T18:38:23
txn_000832,acct_000903,device_000182,ip_000260,token_000305,merchant_000057,862.95,USD,purchase,2025-01-12T18:48:17,2025-01-12T18:52:05
txn_001607,acct_000100,device_000554,ip_000314,token_001096,merchant_000029,15.64,USD,purchase,2025-01-12T19:19:07,2025-01-12T19:20:16
txn_002531,acct_000436,device_000418,ip_000335,token_000095,merchant_000027,6.55,USD,purchase,2025-01-12T23:19:14,2025-01-12T23:20:41
txn_000914,acct_001007,device_000033,ip_000256,token_000655,merchant_000045,10.22,USD,purchase,2025-01-13T01:19:00,2025-01-13T01:22:25
txn_002502,acct_000124,device_000228,ip_000073,token_000518,merchant_000060,21.51,USD,purchase,2025-01-13T01:42:20,2025-01-13T01:42:55
txn_000670,acct_000768,device_000482,ip_000483,token_000603,merchant_000080,80.5,USD,purchase,2025-01-13T02:24:29,2025-01-13T02:27:49
txn_003547,acct_000418,device_000107,ip_000233,token_000670,merchant_000013,51.71,USD,purchase,2025-01-13T03:19:03,2025-01-13T03:20:37
txn_001525,acct_000099,device_000209,ip_000016,token_001051,merchant_000070,33.99,USD,purchase,2025-01-13T05:05:34,2025-01-13T05:09:14
txn_004119,acct_000067,device_000026,ip_000010,token_000962,merchant_000066,13.38,USD,purchase,2025-01-13T06:08:26,2025-01-13T06:10:43
txn_004120,acct_000060,device_000026,ip_000010,token_000108,merchant_000003,11.77,USD,purchase,2025-01-13T06:08:29,2025-01-13T06:12:27
txn_004121,acct_000065,device_000026,ip_000010,token_000237,merchant_000039,4.81,USD,purchase,2025-01-13T06:08:32,2025-01-13T06:11:16
txn_004122,acct_000065,device_000026,ip_000010,token_000295,merchant_000001,11.04,USD,purchase,2025-01-13T06:08:35,2025-01-13T06:11:43
txn_004123,acct_000071,device_000026,ip_000010,token_000057,merchant_000036,12.68,USD,purchase,2025-01-13T06:08:38,2025-01-13T06:10:28
txn_004124,acct_000056,device_000026,ip_000010,token_001143,merchant_000016,12.19,USD,purchase,2025-01-13T06:08:41,2025-01-13T06:11:18
txn_004125,acct_000069,device_000026,ip_000010,token_000991,merchant_000014,3.06,USD,purchase,2025-01-13T06:08:44,2025-01-13T06:08:55
txn_004126,acct_000068,device_000026,ip_000010,token_000748,merchant_000078,9.53,USD,purchase,2025-01-13T06:08:47,2025-01-13T06:08:48
txn_004127,acct_000059,device_000026,ip_000010,token_000461,merchant_000055,12.18,USD,purchase,2025-01-13T06:08:50,2025-01-13T06:11:50
txn_004128,acct_000057,device_000026,ip_000010,token_001113,merchant_000049,13.09,USD,purchase,2025-01-13T06:08:53,2025-01-13T06:11:49
txn_004129,acct_000056,device_000026,ip_000010,token_000745,merchant_000004,13.23,USD,purchase,2025-01-13T06:08:56,2025-01-13T06:12:54
txn_004130,acct_000062,device_000026,ip_000010,token_000604,merchant_000068,8.66,USD,purchase,2025-01-13T06:08:59,2025-01-13T06:11:57
txn_004131,acct_000060,device_000026,ip_000010,token_000533,merchant_000057,5.23,USD,purchase,2025-01-13T06:09:02,2025-01-13T06:12:12
txn_004132,acct_000065,device_000026,ip_000010,token_000639,merchant_000037,12.17,USD,purchase,2025-01-13T06:09:05,2025-01-13T06:11:57
txn_004133,acct_000068,device_000026,ip_000010,token_000183,merchant_000077,6.58,USD,purchase,2025-01-13T06:09:08,2025-01-13T06:09:31
txn_004134,acct_000061,device_000026,ip_000010,token_000765,merchant_000002,2.6,USD,purchase,2025-01-13T06:09:11,2025-01-13T06:12:04
txn_004135,acct_000062,device_000026,ip_000010,token_000276,merchant_000014,6.49,USD,purchase,2025-01-13T06:09:14,2025-01-13T06:12:52
txn_004136,acct_000070,device_000026,ip_000010,token_000308,merchant_000049,10.36,USD,purchase,2025-01-13T06:09:17,2025-01-13T06:12:11
txn_004137,acct_000059,device_000026,ip_000010,token_000460,merchant_000068,8.49,USD,purchase,2025-01-13T06:09:20,2025-01-13T06:13:19
txn_004138,acct_000058,device_000026,ip_000010,token_000809,merchant_000061,12.73,USD,purchase,2025-01-13T06:09:23,2025-01-13T06:11:57
txn_002761,acct_001018,device_000322,ip_000220,token_000570,merchant_000028,20.65,USD,purchase,2025-01-13T07:26:14,2025-01-13T07:26:56
txn_001398,acct_000348,device_000058,ip_000479,token_000311,merchant_000005,55.09,USD,purchase,2025-01-13T08:22:28,2025-01-13T08:23:29
txn_003811,acct_000437,device_000347,ip_000493,token_000745,merchant_000014,24.85,USD,purchase,2025-01-13T10:51:08,2025-01-13T10:51:57
txn_003896,acct_000010,device_000007,ip_000018,token_000587,merchant_000053,43.08,USD,purchase,2025-01-13T11:26:09,2025-01-13T11:27:40
txn_003087,acct_000021,device_000420,ip_000231,token_000153,merchant_000003,34.0,USD,purchase,2025-01-13T12:02:49,2025-01-13T12:04:04
txn_000229,acct_000971,device_000141,ip_000084,token_000396,merchant_000029,4.99,USD,purchase,2025-01-13T12:24:04,2025-01-13T12:24:56
txn_000648,acct_000228,device_000483,ip_000480,token_000539,merchant_000004,16.22,USD,purchase,2025-01-13T12:49:20,2025-01-13T12:50:46
txn_001561,acct_000382,device_000123,ip_000058,token_001217,merchant_000052,12.08,USD,purchase,2025-01-13T13:30:37,2025-01-13T13:33:33
txn_001476,acct_000761,device_000307,ip_000452,token_000488,merchant_000080,9.89,USD,purchase,2025-01-13T15:36:56,2025-01-13T15:40:50
txn_003551,acct_000841,device_000558,ip_000293,token_000289,merchant_000019,16.16,USD,purchase,2025-01-13T15:54:25,2025-01-13T15:56:51
txn_002477,acct_000667,device_000245,ip_000339,token_000802,merchant_000018,17.08,USD,purchase,2025-01-13T19:17:08,2025-01-13T19:18:27
txn_003453,acct_000739,device_000251,ip_000125,token_000359,merchant_000012,7.86,USD,purchase,2025-01-13T20:10:50,2025-01-13T20:12:07
txn_002138,acct_001010,device_000077,ip_000331,token_001057,merchant_000055,7.77,USD,purchase,2025-01-13T22:08:56,2025-01-13T22:10:38
txn_002792,acct_000395,device_000222,ip_000145,token_000052,merchant_000044,36.06,USD,purchase,2025-01-13T22:40:14,2025-01-13T22:43:12
txn_003735,acct_000998,device_000466,ip_000132,token_000638,merchant_000013,38.99,USD,purchase,2025-01-13T23:58:40,2025-01-14T00:01:10
txn_003163,acct_000693,device_000103,ip_000106,token_000454,merchant_000017,-33.47,USD,refund,2025-01-14T01:15:56,2025-01-14T01:16:20
txn_003340,acct_000350,device_000426,ip_000265,token_000186,merchant_000030,24.29,USD,purchase,2025-01-14T11:49:41,2025-01-14T11:53:23
txn_000188,acct_000259,device_000135,ip_000270,token_000350,merchant_000004,223.7,USD,purchase,2025-01-14T15:40:05,2025-01-14T15:41:29
txn_003838,acct_000313,device_000280,ip_000300,token_000604,merchant_000015,32.45,USD,purchase,2025-01-14T18:20:26,2025-01-14T18:21:16
txn_002347,acct_000062,device_000438,ip_000137,token_000084,merchant_000064,157.66,USD,purchase,2025-01-14T21:47:52,2025-01-14T21:51:07
txn_003176,acct_000198,device_000398,ip_000127,token_000920,merchant_000079,13.14,USD,purchase,2025-01-15T01:08:56,2025-01-15T01:11:18
txn_002758,acct_001003,device_000207,ip_000345,token_000921,merchant_000060,8.76,USD,purchase,2025-01-15T08:18:52,2025-01-15T08:21:30
txn_003644,acct_000576,device_000298,ip_000334,token_000738,merchant_000023,18.9,USD,purchase,2025-01-15T11:49:07,2025-01-15T11:51:48
txn_002057,acct_000194,device_000170,ip_000165,token_000463,merchant_000051,18.25,USD,purchase,2025-01-15T13:04:35,2025-01-15T13:04:51
txn_003173,acct_000285,device_000261,ip_000105,token_000846,merchant_000012,195.21,USD,purchase,2025-01-15T18:22:56,2025-01-15T18:24:03
txn_002094,acct_000926,device_000138,ip_000067,token_000493,merchant_000042,3.7,USD,purchase,2025-01-15T20:51:16,2025-01-15T20:52:16
txn_003693,acct_000281,device_000124,ip_000447,token_000760,merchant_000009,51.44,USD,purchase,2025-01-15T22:35:23,2025-01-15T22:38:56
txn_001345,acct_000065,device_000168,ip_000205,token_000286,merchant_000059,18.64,USD,purchase,2025-01-16T04:17:38,2025-01-16T04:20:13
txn_002570,acct_000448,device_000193,ip_000277,token_000763,merchant_000028,233.82,USD,purchase,2025-01-16T08:05:41,2025-01-16T08:06:36
txn_000134,acct_000523,device_000006,ip_000170,token_000956,merchant_000020,9.35,USD,purchase,2025-01-16T12:16:23,2025-01-16T12:16:37
txn_000727,acct_000765,device_000346,ip_000248,token_000822,merchant_000039,25.1,USD,purchase,2025-01-16T14:01:44,2025-01-16T14:05:03
txn_001443,acct_001097,device_000203,ip_000249,token_000694,merchant_000030,20.68,USD,purchase,2025-01-16T15:47:40,2025-01-16T15:51:22
txn_002103,acct_001113,device_000566,ip_000276,token_000363,merchant_000052,8.82,USD,purchase,2025-01-16T16:20:21,2025-01-16T16:21:22
txn_003694,acct_000281,device_000124,ip_000447,token_000760,merchant_000009,-51.44,USD,refund,2025-01-16T16:35:23,2025-01-16T16:37:21
txn_000968,acct_000752,device_000366,ip_000342,token_001172,merchant_000012,9.82,USD,purchase,2025-01-16T16:50:00,2025-01-16T16:50:26
txn_000380,acct_000755,device_000191,ip_000223,token_000873,merchant_000012,62.92,USD,purchase,2025-01-16T16:54:37,2025-01-16T16:57:31
txn_002857,acct_001102,device_000227,ip_000065,token_000384,merchant_000077,32.15,USD,purchase,2025-01-16T17:23:53,2025-01-16T17:24:09
txn_002264,acct_000826,device_000521,ip_000164,token_000439,merchant_000065,11.22,USD,purchase,2025-01-16T18:12:11,2025-01-16T18:12:26
txn_002360,acct_000163,device_000345,ip_000464,token_000694,merchant_000076,7.17,USD,purchase,2025-01-16T22:19:18,2025-01-16T22:22:25
txn_003673,acct_000811,device_000574,ip_000425,token_000447,merchant_000079,2.7,USD,purchase,2025-01-17T05:57:15,2025-01-17T05:57:25
txn_000395,acct_000937,device_000114,ip_000055,token_000209,merchant_000072,24.94,USD,purchase,2025-01-17T07:11:00,2025-01-17T07:11:31
txn_001133,acct_000185,device_000501,ip_000083,token_000868,merchant_000067,29.17,USD,purchase,2025-01-17T13:16:45,2025-01-17T13:20:13
txn_000088,acct_000355,device_000172,ip_000109,token_000395,merchant_000017,104.3,USD,purchase,2025-01-17T13:46:05,2025-01-17T13:47:12
