case_id,opened_at,status
case_000049,2025-12-18T15:14:33,closed_no_action
case_000050,2025-08-18T14:48:22,closed_no_action
case_000051,2025-12-08T12:21:48,closed_no_action
case_000052,2025-09-17T17:30:52,closed_no_action
case_000053,2025-03-14T15:50:44,closed_no_action
case_000054,2025-06-23T17:18:42,closed_no_action
case_000055,2025-02-06T15:49:58,closed_no_action
case_000056,2025-02-24T18:14:30,closed_no_action
case_000057,2025-06-30T14:18:18,closed_no_action
case_000058,2025-12-05T09:03:46,closed_no_action
case_000059,2025-07-21T14:11:39,closed_no_action
case_000060,2025-05-15T16:08:21,closed_no_action
case_000061,2025-05-05T13:20:53,closed_no_action
case_000062,2025-10-21T10:48:57,closed_no_action
case_000063,2025-08-20T16:17:48,closed_no_action
case_000064,2025-02-20T18:29:41,closed_no_action
case_000065,2025-09-22T18:42:05,closed_no_action
case_000066,2025-08-11T12:18:00,closed_no_action
case_000067,2025-12-29T14:18:26,closed_no_action
case_000068,2025-10-20T17:15:00,closed_no_action
case_000069,2025-04-11T14:50:42,closed_no_action
case_000070,2025-01-31T14:50:19,closed_no_action
case_000071,2025-11-10T10:39:23,closed_no_action
case_000072,2025-11-17T10:37:21,closed_no_action
case_000073,2025-06-17T11:56:57,closed_no_action
case_000074,2025-08-01T11:55:49,closed_no_action
case_000075,2025-09-22T12:49:46,closed_no_action
case_000076,2025-02-25T10:19:41,closed_no_action
case_000077,2025-12-18T17:49:42,closed_no_action
case_000078,2025-08-04T12:55:15,closed_no_action
case_000079,2025-01-28T12:39:03,closed_no_action
case_000080,2025-09-07T15:35:19,closed_no_action
case_000081,2025-06-24T15:42:50,closed_no_action
case_000082,2025-03-24T15:59:00,closed_no_action
case_000083,2025-01-27T15:57:51,closed_no_action
case_000084,2025-06-16T10:55:49,closed_no_action
case_000085,2025-12-31T16:02:08,closed_no_action
case_000086,2025-01-22T09:33:44,closed_no_action
case_000087,2025-03-31T18:36:38,closed_no_action
case_000088,2025-02-14T18:03:01,closed_no_action
case_000089,2025-02-06T16:55:23,closed_no_action
case_000090,2025-02-21T10:23:19,closed_no_action
case_000091,2025-08-22T09:37:07,closed_no_action
case_000092,2025-11-27T14:10:48,closed_no_action
case_000093,2025-12-29T18:06:58,closed_no_action
case_000094,2025-03-05T09:02:13,closed_no_action
case_000095,2025-03-11T11:51:56,closed_no_action
case_000096,2025-04-22T14:19:45,closed_no_action
case_000097,2025-12-26T10:00:01,closed_no_action
case_000098,2025-07-10T11:14:19,closed_no_action
case_000099,2025-09-10T11:38:48,closed_no_action
case_000100,2025-10-03T15:13:45,closed_no_action
case_000101,2025-07-25T16:03:45,closed_no_action
case_000102,2025-10-07T09:18:44,closed_no_action
case_000103,2025-08-15T17:09:02,closed_no_action
case_000104,2025-01-20T11:29:19,closed_no_action
case_000105,2025-03-18T09:33:28,closed_no_action
case_000106,2025-07-21T14:17:14,closed_no_action
case_000107,2025-02-18T17:24:37,closed_no_action
case_000108,2025-02-17T14:12:43,closed_no_action
case_000109,2025-09-19T09:52:34,closed_no_action
case_000110,2025-03-20T16:17:40,closed_no_action
case_000111,2025-09-27T16:02:36,closed_no_action
case_000112,2025-06-26T14:04:50,closed_no_action
case_000113,2025-05-05T14:31:06,closed_no_action
case_000114,2025-06-23T10:09:38,closed_no_action
case_000115,2025-03-10T15:01:06,closed_no_action
case_000116,2025-09-15T14:24:35,closed_no_action
case_000117,2025-05-19T16:27:52,closed_no_action
case_000118,2025-06-04T09:40:31,closed_no_action
case_000119,2025-01-24T17:37:48,closed_no_action
case_000120,2025-03-10T11:49:13,closed_no_action
case_000121,2025-08-25T09:00:10,closed_no_action
case_000122,2025-07-28T10:56:58,closed_no_action
case_000123,2025-01-18T13:00:51,closed_no_action
case_000124,2025-02-24T09:05:14,closed_no_action
case_000125,2025-03-27T10:57:12,closed_no_action
case_000126,2025-10-08T09:37:39,closed_no_action
case_000127,2025-10-02T15:05:22,closed_no_action
case_000128,2025-01-13T15:02:51,closed_no_action
case_000129,2025-06-02T16:45:43,closed_no_action
case_000130,2025-09-29T10:30:04,closed_no_action
case_000131,2025-01-21T09:13:12,closed_no_action
case_000132,2025-11-11T10:15:00,closed_no_action
case_000133,2025-01-06T15:53:57,closed_no_action
case_000134,2025-12-28T12:55:32,closed_no_action
case_000135,2025-07-22T16:23:05,closed_no_action
case_000136,2025-04-14T17:19:58,closed_no_action
case_000137,2025-02-24T15:21:22,closed_no_action
case_000138,2025-11-10T15:22:25,closed_no_action
case_000139,2025-06-30T18:02:52,closed_no_action
case_000140,2025-10-13T18:36:29,closed_no_action
case_000141,2025-03-17T10:17:06,closed_no_action
case_000142,2025-05-26T13:38:39,closed_no_action
case_000143,2025-11-18T09:16:54,closed_no_action
case_000144,2025-10-21T18:30:59,closed_no_action
case_000145,2025-02-20T12:52:53,closed_no_action
case_000146,2025-03-04T09:05:52,closed_no_action
case_000147,2025-04-07T17:45:30,closed_no_action
case_000148,2025-06-23T09:19:50,closed_no_action
case_000149,2025-05-21T15:00:11,closed_no_action
case_000150,2025-06-09T18:44:37,closed_no_action
case_000151,2025-09-29T18:27:28,closed_no_action
case_000152,2025-11-27T09:37:13,closed_no_action
case_000153,2025-01-07T10:33:40,closed_no_action
case_000154,2025-09-25T16:59:29,closed_no_action
case_000155,2025-05-05T11:20:28,closed_no_action
case_000156,2025-03-17T16:19:22,closed_no_action
case_000157,2025-05-21T15:21:37,closed_no_action
case_000158,2025-03-11T17:39:33,closed_no_action
case_000159,2025-04-28T11:23:56,closed_no_action
case_000160,2025-09-03T18:21:04,closed_no_action
case_000161,2025-06-18T10:23:55,closed_no_action
case_000162,2025-10-27T17:21:34,closed_no_action
case_000163,2025-09-07T12:22:20,closed_no_action
case_000164,2025-08-21T10:10:23,closed_no_action
case_000165,2025-02-27T16:12:56,closed_no_action
case_000166,2025-12-22T09:22:13,closed_no_action
case_000167,2025-01-14T17:35:02,closed_no_action
case_000168,2025-04-26T16:29:58,closed_no_action
case_000169,2025-07-07T16:57:09,closed_no_action
case_000170,2025-05-09T11:15:51,closed_no_action
case_000171,2025-04-08T18:24:21,closed_no_action
case_000172,2025-03-31T09:55:55,closed_no_action
case_000173,2025-08-20T09:25:13,closed_no_action
case_000174,2025-12-05T16:12:19,closed_no_action
case_000175,2025-01-14T17:11:19,closed_no_action
case_000176,2025-03-17T10:08:27,closed_no_action
case_000177,2025-04-28T14:42:02,closed_no_action
case_000178,2025-10-24T17:55:40,closed_no_action
case_000179,2025-07-07T11:55:03,closed_no_action
case_000180,2025-06-04T11:12:26,closed_no_action
case_000181,2025-02-19T15:00:19,closed_no_action
case_000182,2025-05-06T16:05:26,closed_no_action
case_000183,2025-04-09T09:46:18,closed_no_action
case_000184,2025-08-18T17:58:57,closed_no_action
case_000185,2025-02-10T16:22:26,closed_no_action
case_000186,2025-08-14T16:42:47,closed_no_action
case_000187,2025-06-11T15:07:25,closed_no_action
case_000188,2025-10-22T11:13:24,closed_no_action
case_000189,2025-06-16T09:29:25,closed_no_action
case_000190,2025-01-13T09:10:54,closed_no_action
case_000191,2025-03-17T17:23:43,closed_no_action
case_000192,2025-12-04T18:32:24,closed_no_action
case_000193,2025-09-22T11:52:47,closed_no_action
case_000194,2025-07-21T13:09:49,closed_no_action
case_000195,2025-04-03T12:45:21,closed_no_action
case_000196,2025-04-11T12:39:11,closed_no_action
case_000197,2025-05-15T14:48:06,closed_no_action
case_000198,2025-01-24T09:56:11,closed_no_action
case_000199,2025-12-03T09:38:37,closed_no_action
case_000200,2025-07-23T12:59:59,closed_no_action
case_000201,2025-07-09T09:47:37,closed_no_action
case_000202,2025-05-16T14:38:46,closed_no_action
case_000203,2025-05-06T12:11:20,closed_no_action
case_000204,2025-06-17T10:11:21,closed_no_action
case_000205,2025-08-04T15:43:24,closed_no_action
case_000206,2025-01-07T15:10:08,closed_no_action
case_000207,2025-07-26T11:23:58,closed_no_action
case_000208,2025-03-25T15:11:15,closed_no_action
case_000209,2025-04-15T16:12:27,closed_no_action
case_000210,2025-07-15T14:10:52,closed_no_action
case_000211,2025-10-10T12:19:30,closed_no_action
case_000212,2025-08-11T15:52:09,closed_no_action
case_000213,2025-12-22T09:10:19,closed_no_action
case_000214,2025-08-25T13:37:19,closed_no_action
case_000215,2025-02-24T15:04:50,closed_no_action
case_000216,2025-04-30T16:05:57,closed_no_action
case_000217,2025-04-21T17:51:35,closed_no_action
case_000218,2025-03-30T14:18:22,closed_no_action
case_000219,2025-10-10T17:19:35,closed_no_action
case_000220,2025-05-02T18:28:50,closed_no_action
case_000221,2025-06-20T15:54:19,closed_no_action
case_000222,2025-08-11T15:01:35,closed_no_action
case_000223,2025-08-05T12:37:54,closed_no_action
case_000224,2025-06-24T10:57:04,closed_no_action
case_000225,2025-03-10T13:08:52,closed_no_action
case_000226,2025-01-09T11:59:54,closed_no_action
case_000227,2025-02-03T11:59:46,closed_no_action
case_000228,2025-01-24T11:50:04,closed_no_action
case_000229,2025-04-24T17:29:44,closed_no_action
case_000230,2025-08-25T11:48:26,closed_no_action
case_000231,2025-06-09T17:37:48,closed_no_action
case_000232,2025-09-12T18:27:52,closed_no_action
case_000233,2025-02-07T15:21:58,closed_no_action
case_000234,2025-09-25T09:39:10,closed_no_action
case_000235,2025-08-28T09:20:32,closed_no_action
case_000236,2025-09-01T12:01:09,closed_no_action
case_000237,2025-10-23T17:22:19,closed_no_action
case_000238,2025-03-14T16:30:11,closed_no_action
case_000239,2025-01-07T11:52:18,closed_no_action
case_000240,2025-05-11T10:46:12,closed_no_action
case_000241,2025-02-05T18:11:31,closed_no_action
case_000242,2025-05-05T15:07:33,closed_no_action
case_000243,2025-03-04T11:01:37,closed_no_action
case_000244,2025-09-25T13:56:41,closed_no_action
case_000245,2025-03-18T12:39:45,closed_no_action
case_000246,2025-12-22T11:57:13,closed_no_action
case_000247,2025-06-02T13:45:24,closed_no_action
case_000248,2025-09-01T17:28:01,closed_no_action
case_000249,2025-04-24T14:17:39,closed_no_action
case_000250,2025-10-13T16:25:54,closed_no_action
case_000251,2025-12-08T18:59:17,closed_no_action
case_000252,2025-07-18T10:34:57,closed_no_action
case_000253,2025-11-24T09:21:17,closed_no_action
case_000254,2025-05-22T10:49:40,closed_no_action
case_000255,2025-07-14T15:29:03,closed_no_action
case_000256,2025-09-01T09:06:06,closed_no_action
case_000257,2025-02-10T15:37:10,closed_no_action
case_000258,2025-03-20T14:36:32,closed_no_action
case_000259,2025-03-10T15:19:33,closed_no_action
case_000260,2025-08-22T11:24:49,closed_no_action
case_000261,2025-08-18T13:46:05,closed_no_action
case_000262,2025-08-25T14:43:40,closed_no_action
case_000263,2025-07-30T16:54:21,closed_no_action
case_000264,2025-01-07T09:26:38,closed_no_action
case_000265,2025-08-07T10:40:00,closed_no_action
case_000266,2025-12-08T09:46:07,closed_no_action
case_000267,2025-10-06T09:18:13,closed_no_action
case_000268,2025-05-28T13:43:05,closed_no_action
case_000269,2025-12-23T13:09:20,closed_no_action
case_000270,2025-09-12T12:32:33,closed_no_action
case_000271,2025-12-22T18:09:21,closed_no_action
case_000272,2025-12-01T14:29:48,closed_no_action
case_000273,2025-03-07T11:38:54,closed_no_action
case_000274,2025-10-29T16:43:46,closed_no_action
case_000275,2025-02-14T09:10:30,closed_no_action
case_000276,2025-12-01T18:20:05,closed_no_action
case_000277,2025-09-08T18:53:59,closed_no_action
case_000278,2025-11-17T12:57:53,closed_no_action
case_000279,2025-03-18T14:56:57,closed_no_action
case_000280,2025-01-29T10:20:44,closed_no_action
case_000281,2025-09-17T15:27:50,closed_no_action
case_000282,2025-09-05T09:10:25,closed_no_action
case_000283,2025-12-18T15:28:19,closed_no_action
case_000284,2025-09-01T18:55:35,closed_no_action
case_000285,2025-09-17T10:09:55,closed_no_action
case_000286,2025-06-05T10:23:13,closed_no_action
case_000287,2025-10-07T15:09:57,closed_no_action
case_000288,2025-03-03T17:51:57,closed_no_action
case_000289,2025-01-01T17:29:51,closed_no_action
case_000290,2025-04-28T17:49:55,closed_no_action
case_000291,2025-08-18T14:12:20,closed_no_action
case_000292,2025-06-09T16:59:14,closed_no_action
case_000293,2025-11-09T10:38:02,closed_no_action
case_000294,2025-03-17T12:33:24,closed_no_action
case_000295,2025-01-27T09:58:02,closed_no_action
case_000296,2025-04-21T17:34:54,closed_no_action
case_000297,2025-04-23T14:38:20,closed_no_action
case_000298,2025-01-17T13:56:45,closed_no_action
case_000299,2025-02-15T18:10:25,closed_no_action
case_000300,2025-11-19T16:39:56,closed_no_action
case_000301,2025-08-29T11:21:30,closed_no_action
case_000302,2025-05-19T11:10:44,closed_no_action
case_000303,2025-10-20T09:19:30,closed_no_action
case_000304,2025-07-14T11:33:24,closed_no_action
case_000305,2025-02-26T12:45:39,closed_no_action
case_000306,2025-11-21T10:39:27,closed_no_action
case_000307,2025-12-23T11:10:33,closed_no_action
case_000308,2025-11-26T18:19:16,closed_no_action
case_000309,2025-03-03T16:18:02,closed_no_action
case_000310,2025-09-15T14:54:11,closed_no_action
case_000311,2025-12-23T11:18:29,closed_no_action
case_000312,2025-03-31T12:15:29,closed_no_action
case_000313,2025-08-06T15:21:41,closed_no_action
case_000314,2025-12-15T11:16:22,closed_no_action
case_000315,2025-07-07T17:51:05,closed_no_action
case_000316,2025-02-28T14:53:29,closed_no_action
case_000317,2025-05-01T11:49:52,closed_no_action
case_000318,2025-02-28T16:10:54,closed_no_action
case_000319,2025-04-14T14:00:17,closed_no_action
case_000320,2025-02-03T17:06:21,closed_no_action
case_000321,2025-04-07T18:30:46,closed_no_action
case_000322,2025-04-14T13:31:38,closed_no_action
case_000323,2025-05-06T18:13:59,closed_no_action
case_000324,2025-03-05T12:57:52,closed_no_action
case_000325,2025-02-17T18:36:10,closed_no_action
case_000326,2025-05-05T16:21:52,closed_no_action
case_000327,2025-09-15T11:57:22,closed_no_action
case_000328,2025-07-23T16:20:43,closed_no_action
case_000329,2025-11-24T13:15:23,closed_no_action
case_000330,2025-06-09T15:07:18,closed_no_action
case_000331,2025-06-24T11:47:31,closed_no_action
case_000332,2025-09-23T12:37:08,closed_no_action
case_000333,2025-08-28T09:16:14,closed_no_action
case_000334,2025-03-25T13:53:47,closed_no_action
case_000335,2025-05-20T18:28:41,closed_no_action
case_000336,2025-11-10T17:36:58,closed_no_action
case_000337,2025-03-31T09:29:04,closed_no_action
case_000338,2025-03-03T13:37:46,closed_no_action
case_000339,2025-05-05T12:19:35,closed_no_action
case_000340,2025-05-29T18:27:35,closed_no_action
case_000341,2025-03-03T14:11:48,closed_no_action
case_000342,2025-04-30T12:16:22,closed_no_action
case_000343,2025-06-02T14:27:14,closed_no_action
case_000344,2025-01-14T12:06:34,closed_no_action
case_000345,2025-08-07T10:09:49,closed_no_action
case_000346,2025-12-08T17:56:48,closed_no_action
case_000347,2025-02-06T10:48:17,closed_no_action
case_000348,2025-11-18T15:25:33,closed_no_action
case_000349,2025-03-27T14:34:40,closed_no_action
case_000350,2025-02-11T17:10:59,closed_no_action
case_000351,2025-01-06T18:07:35,closed_no_action
case_000352,2025-02-10T15:16:09,closed_no_action
case_000353,2025-11-23T13:03:29,closed_no_action
case_000354,2025-10-02T11:33:21,closed_no_action
case_000355,2025-10-01T10:50:57,closed_no_action
case_000356,2025-12-12T16:24:48,closed_no_action
case_000357,2025-11-03T10:35:11,closed_no_action
case_000358,2025-07-24T09:50:03,closed_no_action
case_000359,2025-02-27T17:02:51,closed_no_action
case_000360,2025-08-14T14:00:15,closed_no_action
case_000361,2025-07-18T12:38:59,closed_no_action
case_000362,2025-04-17T15:30:44,closed_no_action
case_000363,2025-04-30T18:47:00,closed_no_action
case_000364,2025-11-10T16:43:33,closed_no_action
case_000365,2025-02-17T18:03:28,closed_no_action
case_000366,2025-06-13T10:16:45,closed_no_action
case_000367,2025-02-17T18:28:05,closed_no_action
case_000368,2025-11-14T13:01:19,closed_no_action
case_000369,2025-02-03T09:54:33,closed_no_action
case_000370,2025-12-02T10:07:17,closed_no_action
case_000371,2025-04-03T16:59:45,closed_no_action
case_000372,2025-10-08T09:21:21,closed_no_action
case_000373,2025-08-07T11:17:35,closed_no_action
case_000374,2025-04-07T17:47:08,closed_no_action
case_000375,2025-08-08T16:01:52,closed_no_action
case_000376,2025-12-22T17:33:01,closed_no_action
case_000377,2025-04-30T11:42:50,closed_no_action
case_000378,2025-09-25T16:46:11,closed_no_action
case_000379,2025-10-20T13:35:00,closed_no_action
case_000380,2025-07-28T17:01:14,closed_no_action
case_000381,2025-09-01T13:46:41,closed_no_action
case_000382,2025-04-07T16:04:20,closed_no_action
case_000383,2025-09-12T10:04:16,closed_no_action
case_000384,2025-04-09T14:09:08,closed_no_action
case_000385,2025-08-21T09:11:21,closed_no_action
case_000386,2025-02-14T16:41:16,closed_no_action
case_000387,2025-09-17T09:04:15,closed_no_action
case_000388,2025-06-25T11:44:18,closed_no_action
case_000389,2025-12-22T18:48:15,closed_no_action
case_000390,2025-07-28T09:14:41,closed_no_action
case_000391,2025-07-14T13:24:40,closed_no_action
case_000392,2025-10-09T17:20:19,closed_no_action
case_000393,2025-10-22T18:15:40,closed_no_action
case_000394,2025-01-02T16:14:36,closed_no_action
case_000395,2025-10-27T17:55:08,closed_no_action
case_000396,2025-09-23T10:07:35,closed_no_action
case_000397,2025-10-16T12:08:47,closed_no_action
case_000398,2025-02-25T17:23:47,closed_no_action
case_000399,2025-01-28T15:32:43,closed_no_action
case_000400,2025-08-21T14:31:35,closed_no_action
case_000401,2025-07-21T09:54:40,closed_no_action
case_000402,2025-09-15T17:23:42,closed_no_action
case_000403,2025-10-22T14:44:40,closed_no_action
case_000404,2025-06-09T15:48:37,closed_no_action
case_000405,2025-02-07T09:19:37,closed_no_action
case_000406,2025-09-15T11:09:59,closed_no_action
case_000407,2025-05-08T13:30:44,closed_no_action
case_000408,2025-02-04T12:33:19,closed_no_action
case_000409,2025-03-18T12:25:42,closed_no_action
case_000410,2025-06-16T15:01:19,closed_no_action
case_000411,2025-05-13T09:25:29,closed_no_action
case_000412,2025-11-03T13:55:48,closed_no_action
case_000413,2025-07-07T09:43:26,closed_no_action
case_000414,2025-10-29T11:59:06,closed_no_action
case_000415,2025-09-16T16:53:34,closed_no_action
case_000416,2025-07-10T09:10:07,closed_no_action
case_000417,2025-01-07T16:33:33,closed_no_action
case_000418,2025-04-21T11:07:56,closed_no_action
case_000419,2025-08-22T15:02:59,closed_no_action
case_000420,2025-02-26T09:46:55,closed_no_action
case_000421,2025-11-07T12:45:22,closed_no_action
case_000422,2025-02-03T16:29:55,closed_no_action
case_000423,2025-03-24T14:53:44,closed_no_action
case_000424,2025-08-20T11:37:45,closed_no_action
case_000425,2025-12-22T09:53:42,closed_no_action
case_000426,2025-08-25T18:43:06,closed_no_action
case_000427,2025-08-08T14:01:59,closed_no_action
case_000428,2025-04-01T16:59:40,closed_no_action
case_000429,2025-12-15T10:56:26,closed_no_action
case_000430,2025-05-28T12:31:39,closed_no_action
case_000431,2025-04-21T12:26:24,closed_no_action
case_000432,2025-02-14T16:53:45,closed_no_action
case_000433,2025-01-01T14:33:42,closed_no_action
case_000434,2025-07-11T13:11:28,closed_no_action
case_000435,2025-10-31T15:51:16,closed_no_action
case_000436,2025-06-03T16:15:12,closed_no_action
case_000437,2025-04-23T12:01:17,closed_no_action
case_000438,2025-04-23T14:42:15,closed_no_action
case_000439,2025-02-18T12:49:20,closed_no_action
case_000440,2025-12-02T17:53:21,closed_no_action
case_000441,2025-02-27T14:36:39,closed_no_action
case_000442,2025-01-20T10:42:27,closed_no_action
case_000443,2025-09-08T17:54:55,closed_no_action
case_000444,2025-08-18T14:49:36,closed_no_action
case_000445,2025-03-27T15:10:58,closed_no_action
case_000446,2025-12-01T11:51:38,closed_no_action
case_000447,2025-12-18T14:57:12,closed_no_action
case_000448,2025-03-19T12:36:50,closed_no_action
case_000449,2025-09-18T11:47:55,closed_no_action
case_000450,2025-06-05T15:09:22,closed_no_action
case_000451,2025-05-12T14:40:03,closed_no_action
case_000452,2025-11-05T18:21:37,closed_no_action
case_000453,2025-08-28T14:14:49,closed_no_action
case_000454,2025-02-20T11:27:39,closed_no_action
case_000455,2025-07-14T09:08:39,closed_no_action
case_000456,2025-12-09T10:26:36,closed_no_action
case_000457,2025-10-24T12:10:41,closed_no_action
case_000458,2025-01-13T16:04:22,closed_no_action
case_000459,2025-06-19T12:49:44,closed_no_action
case_000460,2025-03-17T09:51:07,closed_no_action
case_000461,2025-05-09T15:20:56,closed_no_action
case_000462,2025-07-04T15:23:48,closed_no_action
case_000463,2025-07-10T13:52:49,closed_no_action
case_000464,2025-05-06T18:43:32,closed_no_action
case_000465,2025-10-14T12:33:45,closed_no_action
case_000466,2025-02-20T11:04:51,closed_no_action
case_000467,2025-04-18T16:27:12,closed_no_action
case_000468,2025-11-24T17:09:30,closed_no_action
case_000469,2025-12-19T18:41:32,closed_no_action
case_000470,2025-05-12T14:30:33,closed_no_action
case_000471,2025-10-16T10:07:14,closed_no_action
case_000472,2025-01-02T14:11:35,closed_no_action
case_000473,2025-04-30T13:46:08,closed_no_action
case_000474,2025-02-13T17:34:16,closed_no_action
case_000475,2025-01-22T16:19:59,closed_no_action
case_000476,2025-12-19T16:03:04,closed_no_action
case_000477,2025-08-30T10:22:23,closed_no_action
case_000478,2025-01-14T11:07:54,closed_no_action
case_000479,2025-08-14T13:12:36,closed_no_action
case_000480,2025-11-13T09:38:27,closed_no_action
case_000481,2025-08-04T11:13:36,closed_no_action
case_000482,2025-06-02T18:01:27,closed_no_action
case_000483,2025-03-04T16:46:07,closed_no_action
case_000484,2025-10-20T10:06:36,closed_no_action
case_000485,2025-09-01T18:17:36,closed_no_action
case_000486,2025-05-21T09:59:11,closed_no_action
case_000487,2025-09-15T15:48:10,closed_no_action
case_000488,2025-08-07T18:10:40,closed_no_action
case_000489,2025-03-04T14:43:20,closed_no_action
case_000490,2025-09-08T18:06:14,closed_no_action
case_000491,2025-07-17T12:09:06,closed_no_action
case_000492,2025-02-20T15:38:26,closed_no_action
case_000493,2025-05-02T15:09:44,closed_no_action
case_000494,2025-09-09T16:15:14,closed_no_action
case_000495,2025-05-15T12:55:41,closed_no_action
case_000496,2025-11-10T15:09:50,closed_no_action
case_000497,2025-05-12T11:19:57,closed_no_action
case_000498,2025-03-31T16:10:25,closed_no_action
case_000499,2025-09-15T16:12:02,closed_no_action
case_000500,2025-05-06T17:30:13,closed_no_action
case_000501,2025-02-18T12:01:30,closed_no_action
case_000502,2025-10-03T13:36:19,closed_no_action
case_000503,2025-01-13T17:22:41,closed_no_action
case_000504,2025-05-07T10:43:14,closed_no_action
case_000505,2025-01-14T10:06:39,closed_no_action
case_000506,2025-06-09T15:22:39,closed_no_action
case_000507,2025-07-14T10:59:13,closed_no_action
case_000508,2025-08-05T18:03:03,closed_no_action
case_000509,2025-04-21T15:00:45,closed_no_action
case_000510,2025-10-09T11:50:10,closed_no_action
case_000511,2025-11-12T17:26:39,closed_no_action
case_000512,2025-02-26T14:17:35,closed_no_action
case_000513,2025-02-21T17:52:48,closed_no_action
case_000514,2025-08-16T12:37:13,closed_no_action
case_000515,2025-01-20T17:35:56,closed_no_action
case_000516,2025-11-06T11:35:51,closed_no_action
case_000517,2025-04-07T17:16:12,closed_no_action
case_000518,2025-09-25T18:16:19,closed_no_action
case_000519,2025-06-09T16:14:55,closed_no_action
case_000520,2025-05-02T09:21:19,closed_no_action
case_000521,2025-01-31T15:33:45,closed_no_action
case_000522,2025-11-27T10:48:44,closed_no_action
case_000523,2025-01-24T16:25:24,closed_no_action
case_000524,2025-06-02T12:25:45,closed_no_action
case_000525,2025-10-07T15:12:24,closed_no_action
case_000526,2025-04-30T14:29:05,closed_no_action
case_000527,2025-07-22T09:16:08,closed_no_action
case_000528,2025-06-06T16:11:08,closed_no_action
case_000529,2025-10-14T18:34:38,closed_no_action
case_000530,2025-10-06T12:25:36,closed_no_action
case_000531,2025-01-23T15:54:55,closed_no_action
case_000532,2025-10-06T18:40:04,closed_no_action
case_000533,2025-10-20T16:49:50,closed_no_action
case_000534,2025-03-18T09:41:10,closed_no_action
case_000535,2025-01-03T15:42:24,closed_no_action
case_000536,2025-06-18T12:28:41,closed_no_action
case_000537,2025-10-20T18:23:39,closed_no_action
case_000538,2025-03-07T13:45:32,closed_no_action
case_000539,2025-12-29T17:27:55,closed_no_action
case_000540,2025-12-03T11:37:19,closed_no_action
case_000541,2025-06-23T15:55:47,closed_no_action
case_000542,2025-11-25T17:31:23,closed_no_action
case_000543,2025-06-12T15:34:13,closed_no_action
case_000544,2025-04-02T16:41:23,closed_no_action
case_000545,2025-07-09T17:52:09,closed_no_action
case_000546,2025-06-17T14:58:25,closed_no_action
case_000547,2025-12-03T09:34:00,closed_no_action
case_000548,2025-03-25T10:04:33,closed_no_action
case_000549,2025-03-13T15:25:12,closed_no_action
case_000550,2025-02-03T09:00:31,closed_no_action
case_000551,2025-11-24T11:52:10,closed_no_action
case_000552,2025-10-29T15:02:05,closed_no_action
case_000553,2025-12-05T14:57:03,closed_no_action
case_000554,2025-03-26T17:02:06,closed_no_action
case_000555,2025-09-01T12:34:00,closed_no_action
case_000556,2025-09-08T11:54:45,closed_no_action
case_000557,2025-04-10T12:12:08,closed_no_action
case_000558,2025-01-10T09:28:47,closed_no_action
case_000559,2025-01-20T16:31:15,closed_no_action
