employee_id,role
emp_000117,customer_support
emp_000118,risk_operations
emp_000119,risk_operations
emp_000120,customer_support
emp_000121,payments_operations
emp_000122,fraud_analyst
emp_000123,payments_operations
emp_000124,fraud_analyst
emp_000125,customer_support
emp_000126,customer_support
emp_000127,customer_support
emp_000128,engineering
emp_000129,engineering
emp_000130,merchant_support
emp_000131,customer_support
emp_000132,customer_support
emp_000133,engineering
emp_000134,engineering
emp_000135,customer_support
emp_000136,fraud_analyst
emp_000137,customer_support
emp_000138,payments_operations
emp_000139,payments_operations
emp_000140,customer_support
emp_000141,fraud_analyst
emp_000142,fraud_analyst
emp_000143,customer_support
emp_000144,engineering
emp_000145,fraud_analyst
emp_000146,customer_support
emp_000147,fraud_analyst
emp_000148,payments_operations
emp_000149,customer_support
emp_000150,customer_support
emp_000151,administrator
emp_000152,risk_operations
emp_000153,fraud_analyst
emp_000154,fraud_analyst
emp_000155,customer_support
emp_000156,customer_support
emp_000157,customer_support
emp_000158,risk_operations
emp_000159,customer_support
emp_000160,customer_support
emp_000161,customer_support
emp_000162,risk_operations
emp_000163,customer_support
emp_000164,engineering
emp_000165,engineering
emp_000166,customer_support
emp_000167,customer_support
emp_000168,risk_operations
emp_000169,customer_support
emp_000170,customer_support
emp_000171,engineering
emp_000172,risk_operations
emp_000173,fraud_analyst
emp_000174,payments_operations
emp_000175,merchant_support
emp_000176,customer_support
emp_000177,customer_support
emp_000178,fraud_analyst
emp_000179,fraud_analyst
emp_000180,fraud_analyst
emp_000181,payments_operations
emp_000182,risk_operations
emp_000183,compliance
emp_000184,customer_support
emp_000185,fraud_analyst
emp_000186,customer_support
emp_000187,engineering
emp_000188,customer_support
emp_000189,customer_support
emp_000190,fraud_analyst
emp_000191,fraud_analyst
emp_000192,customer_support
emp_000193,customer_support
emp_000194,engineering
emp_000195,fraud_analyst
emp_000196,engineering
emp_000197,risk_operations
emp_000198,customer_support
emp_000199,administrator
emp_000200,merchant_support
emp_000201,finance
emp_000202,engineering
emp_000203,merchant_support
emp_000204,customer_support
emp_000205,fraud_analyst
emp_000206,customer_support
emp_000207,fraud_analyst
emp_000208,customer_support
emp_000209,customer_support
emp_000210,compliance
emp_000211,customer_support
emp_000212,payments_operations
emp_000213,fraud_analyst
emp_000214,fraud_analyst
emp_000215,finance
emp_000216,administrator
emp_000217,risk_operations
emp_000218,payments_operations
emp_000219,customer_support
emp_000220,customer_support
emp_000221,finance
emp_000222,risk_operations
emp_000223,fraud_analyst
emp_000224,payments_operations
emp_000225,customer_support
emp_000226,risk_operations
emp_000227,fraud_analyst
emp_000228,engineering
emp_000229,customer_support
emp_000230,finance
emp_000231,customer_support
emp_000232,customer_support
emp_000233,risk_operations
emp_000234,risk_operations
emp_000235,customer_support
emp_000236,customer_support
emp_000237,engineering
emp_000238,customer_support
emp_000239,risk_operations
emp_000240,risk_operations
emp_000241,fraud_analyst
emp_000242,risk_operations
emp_000243,fraud_analyst
emp_000244,engineering
emp_000245,customer_support
emp_000246,payments_operations
emp_000247,customer_support
emp_000248,customer_support
emp_000249,risk_operations
emp_000250,customer_support
emp_000251,customer_support
emp_000252,payments_operations
emp_000253,customer_support
emp_000254,fraud_analyst
emp_000255,administrator
emp_000256,administrator
emp_000257,customer_support
emp_000258,customer_support
emp_000259,customer_support
emp_000260,engineering
emp_000261,engineering
emp_000262,engineering
emp_000263,customer_support
emp_000264,customer_support
emp_000265,merchant_support
emp_000266,payments_operations
emp_000267,risk_operations
emp_000268,compliance
emp_000269,risk_operations
emp_000270,customer_support
emp_000271,merchant_support
emp_000272,customer_support
emp_000273,risk_operations
emp_000274,engineering
emp_000275,customer_support
emp_000276,customer_support
emp_000277,customer_support
emp_000278,risk_operations
emp_000279,customer_support
emp_000280,risk_operations
emp_000281,payments_operations
emp_000282,customer_support
emp_000283,risk_operations
emp_000284,customer_support
emp_000285,fraud_analyst
emp_000286,engineering
emp_000287,merchant_support
emp_000288,customer_support
emp_000289,fraud_analyst
emp_000290,customer_support
emp_000291,customer_support
emp_000292,payments_operations
emp_000293,risk_operations
emp_000294,customer_support
emp_000295,payments_operations
emp_000296,risk_operations
emp_000297,fraud_analyst
emp_000298,customer_support
emp_000299,customer_support
emp_000300,engineering
emp_000301,engineering
emp_000302,fraud_analyst
emp_000303,merchant_support
emp_000304,risk_operations
emp_000305,customer_support
emp_000306,customer_support
emp_000307,customer_support
emp_000308,engineering
emp_000309,payments_operations
emp_000310,engineering
emp_000311,engineering
emp_000312,customer_support
emp_000313,customer_support
emp_000314,customer_support
emp_000315,payments_operations
emp_000316,engineering
emp_000317,fraud_analyst
emp_000318,risk_operations
emp_000319,customer_support
emp_000320,engineering
emp_000321,engineering
emp_000322,finance
emp_000323,merchant_support
emp_000324,engineering
emp_000325,customer_support
emp_000326,payments_operations
emp_000327,customer_support
emp_000328,engineering
emp_000329,merchant_support
emp_000330,engineering
emp_000331,merchant_support
emp_000332,customer_support
emp_000333,payments_operations
emp_000334,customer_support
emp_000335,engineering
emp_000336,engineering
emp_000337,customer_support
emp_000338,merchant_support
emp_000339,fraud_analyst
emp_000340,customer_support
emp_000341,payments_operations
emp_000342,customer_support
emp_000343,customer_support
emp_000344,customer_support
emp_000345,customer_support
emp_000346,engineering
emp_000347,finance
emp_000348,customer_support
emp_000349,risk_operations
emp_000350,customer_support
emp_000351,compliance
emp_000352,fraud_analyst
emp_000353,engineering
emp_000354,customer_support
emp_000355,finance
emp_000356,customer_support
emp_000357,finance
emp_000358,customer_support
emp_000359,customer_support
emp_000360,fraud_analyst
emp_000361,payments_operations
emp_000362,customer_support
emp_000363,risk_operations
emp_000364,fraud_analyst
emp_000365,customer_support
emp_000366,risk_operations
emp_000367,customer_support
emp_000368,payments_operations
emp_000369,customer_support
emp_000370,engineering
emp_000371,fraud_analyst
emp_000372,payments_operations
emp_000373,payments_operations
emp_000374,risk_operations
emp_000375,customer_support
emp_000376,customer_support
emp_000377,risk_operations
emp_000378,customer_support
emp_000379,customer_support
emp_000380,merchant_support
emp_000381,payments_operations
emp_000382,customer_support
emp_000383,customer_support
emp_000384,fraud_analyst
emp_000385,fraud_analyst
emp_000386,customer_support
emp_000387,customer_support
emp_000388,fraud_analyst
emp_000389,engineering
emp_000390,risk_operations
emp_000391,engineering
emp_000392,risk_operations
emp_000393,customer_support
emp_000394,fraud_analyst
emp_000395,customer_support
emp_000396,customer_support
emp_000397,fraud_analyst
emp_000398,risk_operations
emp_000399,risk_operations
emp_000400,fraud_analyst
emp_000401,fraud_analyst
emp_000402,customer_support
emp_000403,fraud_analyst
emp_000404,engineering
emp_000405,payments_operations
emp_000406,customer_support
emp_000407,customer_support
emp_000408,fraud_analyst
emp_000409,risk_operations
emp_000410,customer_support
emp_000411,merchant_support
emp_000412,payments_operations
emp_000413,risk_operations
emp_000414,customer_support
emp_000415,customer_support
emp_000416,customer_support
emp_000417,customer_support
emp_000418,fraud_analyst
emp_000419,merchant_support
emp_000420,customer_support
emp_000421,fraud_analyst
emp_000422,risk_operations
emp_000423,customer_support
emp_000424,risk_operations
emp_000425,fraud_analyst
emp_000426,customer_support
emp_000427,risk_operations
emp_000428,customer_support
emp_000429,payments_operations
emp_000430,payments_operations
emp_000431,customer_support
emp_000432,fraud_analyst
emp_000433,customer_support
emp_000434,finance
emp_000435,fraud_analyst
emp_000436,customer_support
emp_000437,customer_support
emp_000438,merchant_support
emp_000439,fraud_analyst
emp_000440,merchant_support
emp_000441,risk_operations
emp_000442,compliance
emp_000443,risk_operations
emp_000444,finance
emp_000445,engineering
emp_000446,risk_operations
emp_000447,payments_operations
emp_000448,fraud_analyst
emp_000449,merchant_support
emp_000450,fraud_analyst
emp_000451,engineering
emp_000452,payments_operations
emp_000453,fraud_analyst
emp_000454,customer_support
emp_000455,customer_support
emp_000456,risk_operations
emp_000457,payments_operations
emp_000458,fraud_analyst
emp_000459,risk_operations
emp_000460,customer_support
emp_000461,customer_support
emp_000462,customer_support
emp_000463,customer_support
emp_000464,customer_support
emp_000465,fraud_analyst
emp_000466,customer_support
emp_000467,customer_support
emp_000468,risk_operations
emp_000469,payments_operations
emp_000470,customer_support
emp_000471,fraud_analyst
emp_000472,fraud_analyst
emp_000473,fraud_analyst
emp_000474,customer_support
emp_000475,fraud_analyst
emp_000476,engineering
emp_000477,risk_operations
emp_000478,risk_operations
emp_000479,engineering
emp_000480,payments_operations
emp_000481,customer_support
emp_000482,customer_support
emp_000483,customer_support
emp_000484,payments_operations
emp_000485,engineering
emp_000486,finance
emp_000487,fraud_analyst
emp_000488,payments_operations
emp_000489,fraud_analyst
emp_000490,risk_operations
emp_000491,customer_support
emp_000492,customer_support
emp_000493,fraud_analyst
emp_000494,customer_support
emp_000495,customer_support
emp_000496,risk_operations
emp_000497,fraud_analyst
emp_000498,customer_support
emp_000499,fraud_analyst
emp_000500,customer_support
emp_000501,risk_operations
emp_000502,customer_support
emp_000503,customer_support
emp_000504,risk_operations
emp_000505,customer_support
emp_000506,risk_operations
emp_000507,customer_support
emp_000508,fraud_analyst
emp_000509,customer_support
emp_000510,customer_support
emp_000511,customer_support
emp_000512,customer_support
emp_000513,payments_operations
emp_000514,customer_support
emp_000515,payments_operations
emp_000516,merchant_support
emp_000517,customer_support
emp_000518,customer_support
emp_000519,customer_support
emp_000520,fraud_analyst
emp_000521,administrator
emp_000522,customer_support
emp_000523,risk_operations
emp_000524,payments_operations
emp_000525,risk_operations
emp_000526,payments_operations
emp_000527,engineering
emp_000528,customer_support
emp_000529,customer_support
emp_000530,customer_support
emp_000531,customer_support
emp_000532,risk_operations
emp_000533,risk_operations
emp_000534,customer_support
emp_000535,risk_operations
emp_000536,payments_operations
emp_000537,customer_support
emp_000538,risk_operations
emp_000539,payments_operations
emp_000540,customer_support
emp_000541,merchant_support
emp_000542,finance
emp_000543,customer_support
emp_000544,customer_support
emp_000545,customer_support
emp_000546,risk_operations
emp_000547,finance
emp_000548,customer_support
emp_000549,payments_operations
emp_000550,customer_support
emp_000551,risk_operations
emp_000552,risk_operations
emp_000553,customer_support
emp_000554,payments_operations
emp_000555,engineering
emp_000556,risk_operations
emp_000557,customer_support
emp_000558,compliance
emp_000559,payments_operations
emp_000560,customer_support
emp_000561,fraud_analyst
emp_000562,customer_support
emp_000563,fraud_analyst
emp_000564,customer_support
emp_000565,merchant_support
emp_000566,merchant_support
emp_000567,customer_support
emp_000568,finance
emp_000569,risk_operations
emp_000570,merchant_support
emp_000571,payments_operations
emp_000572,fraud_analyst
emp_000573,payments_operations
emp_000574,finance
emp_000575,customer_support
emp_000576,merchant_support
emp_000577,fraud_analyst
emp_000578,fraud_analyst
emp_000579,fraud_analyst
emp_000580,payments_operations
emp_000581,customer_support
emp_000582,engineering
emp_000583,merchant_support
emp_000584,customer_support
emp_000585,engineering
emp_000586,customer_support
emp_000587,fraud_analyst
emp_000588,risk_operations
emp_000589,customer_support
emp_000590,customer_support
emp_000591,engineering
emp_000592,customer_support
emp_000593,customer_support
emp_000594,payments_operations
emp_000595,customer_support
emp_000596,engineering
emp_000597,payments_operations
emp_000598,customer_support
emp_000599,customer_support
emp_000600,engineering
