TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,P_emaildomain,R_emaildomain,C1,C2,C5,C6,C11,C13,C14,D1,D2,D3,D4,D10,D15,V1,V12,V29,V44,V75,V281,V283,V307,DeviceType,DeviceInfo,id_01,id_12,id_30,id_31
3000010,0,19998,17.06,W,1520,490.0,150.0,mastercard,226.0,debit,441.0,87.0,12.0,gmail.com,nan,0,3,1,3,0,2,2,45.0,1.0,30.0,,0.0,5.0,1.0,1.0,0.0,,0.0,0.0,0.0,50.0,mobile,Dev_886,-5.0,Found,Windows 10,nan
3000011,0,26808,130.14,W,2522,321.0,150.0,mastercard,226.0,debit,204.0,87.0,,anonymous.com,nan,0,1,0,1,3,3,2,14.0,1.0,,,0.0,,,0.0,,0.0,,0.0,0.0,50.0,nan,Dev_976,,nan,nan,nan
3000012,0,30280,223.96,W,2534,555.0,185.0,visa,166.0,debit,126.0,87.0,,protonmail.com,yahoo.com,1,1,1,0,1,1,3,,0.0,2.0,,,300.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,nan,Dev_784,,nan,nan,chrome 63.0
3000013,0,30744,146.64,W,2713,224.0,150.0,visa,166.0,debit,315.0,87.0,,yahoo.com,nan,1,3,0,2,1,1,1,14.0,,,,3.0,300.0,,0.0,0.0,,0.0,0.0,,1000.0,desktop,Dev_820,,nan,nan,nan
3000014,0,31134,860.2,W,2348,555.0,150.0,discover,166.0,debit,315.0,87.0,,nan,gmail.com,0,0,0,4,2,1,3,1.0,,0.0,,3.0,,,0.0,,,,0.0,0.0,0.0,desktop,Dev_928,-5.0,nan,Windows 10,mobile safari 11.0
3000015,0,31527,37.27,R,1687,321.0,150.0,discover,166.0,credit,,87.0,12.0,gmail.com,nan,2,1,1,1,2,3,4,14.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,desktop,Dev_830,,nan,Mac OS X 10_12_6,safari 11.0
3000016,0,32232,191.15,C,2958,490.0,185.0,visa,226.0,debit,325.0,87.0,0.0,nan,yahoo.com,0,3,1,2,1,2,1,5.0,,,,120.0,45.0,,,0.0,0.0,0.0,0.0,0.0,0.0,desktop,Dev_636,,Found,Android 7.0,nan
3000017,0,33678,59.34,C,1466,111.0,150.0,visa,166.0,debit,204.0,87.0,5.0,gmail.com,nan,2,2,3,0,0,3,0,180.0,,,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mobile,Dev_937,,nan,nan,nan
3000018,0,34777,258.98,H,2796,321.0,,mastercard,117.0,debit,,87.0,5.0,yahoo.com,gmail.com,0,1,1,0,1,2,1,1.0,,30.0,,0.0,300.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,nan,Dev_175,,nan,Mac OS X 10_12_6,nan
3000019,0,35446,66.12,S,1595,490.0,150.0,mastercard,117.0,credit,299.0,87.0,,mail.com,gmail.com,2,1,0,2,3,2,2,180.0,60.0,,,120.0,300.0,,0.0,1.0,1.0,0.0,1.0,0.0,250.0,desktop,Dev_573,-5.0,nan,nan,safari 11.0
3000020,0,37285,43.53,C,1138,111.0,150.0,visa,226.0,debit,325.0,87.0,0.0,yahoo.com,gmail.com,0,1,0,0,3,3,1,45.0,60.0,7.0,,30.0,0.0,,0.0,1.0,1.0,,0.0,0.0,0.0,desktop,Dev_98,,NotFound,nan,nan
3000021,0,37577,280.53,W,2014,321.0,150.0,visa,102.0,debit,204.0,87.0,0.0,yahoo.com,nan,2,2,1,2,0,0,1,180.0,0.0,30.0,14.0,120.0,300.0,,2.0,0.0,0.0,,1.0,3.0,50.0,desktop,Dev_774,,NotFound,nan,nan
3000022,0,38248,38.83,W,1241,490.0,150.0,american express,226.0,debit,126.0,87.0,,gmail.com,gmail.com,3,0,1,2,0,2,2,,,,14.0,3.0,,,0.0,0.0,0.0,1.0,0.0,0.0,50.0,nan,Dev_114,,nan,nan,chrome 63.0
3000023,0,39135,14.1,W,1315,170.0,150.0,visa,226.0,debit,325.0,87.0,0.0,nan,yahoo.com,3,3,2,2,0,3,4,,,,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,desktop,Dev_742,-10.0,nan,nan,nan
3000024,0,40318,37.77,W,1666,224.0,150.0,visa,166.0,credit,204.0,87.0,12.0,gmail.com,yahoo.com,0,2,0,0,0,1,0,5.0,0.0,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,50.0,mobile,Dev_694,,nan,Android 7.0,nan
3000025,0,43307,131.75,S,1732,224.0,150.0,visa,117.0,debit,204.0,87.0,0.0,mail.com,nan,0,2,1,1,4,4,0,1.0,,30.0,,0.0,300.0,,1.0,0.0,0.0,,0.0,1.0,1000.0,mobile,Dev_228,-5.0,nan,nan,nan
3000026,0,43739,308.35,W,1134,224.0,150.0,visa,126.0,debit,325.0,87.0,,nan,nan,0,2,0,0,1,2,1,1.0,,30.0,90.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,mobile,Dev_467,,nan,nan,safari 11.0
3000027,0,45142,75.36,C,2211,111.0,150.0,visa,166.0,debit,204.0,87.0,,gmail.com,yahoo.com,0,1,1,0,4,2,0,0.0,1.0,30.0,1.0,30.0,,,1.0,0.0,,,0.0,1.0,1000.0,nan,Dev_165,,NotFound,nan,chrome 63.0
3000028,0,46886,284.3,W,2713,111.0,150.0,visa,226.0,credit,126.0,87.0,,anonymous.com,nan,2,1,0,5,0,2,1,0.0,1.0,0.0,,3.0,5.0,1.0,1.0,0.0,1.0,,0.0,1.0,50.0,mobile,Dev_857,,nan,nan,nan
3000029,0,46978,14.97,W,1578,111.0,150.0,visa,226.0,debit,299.0,87.0,0.0,gmail.com,nan,0,2,0,2,3,1,0,,1.0,30.0,,30.0,,,,,,,0.0,1.0,0.0,desktop,Dev_324,0.0,nan,Windows 10,nan
3000030,0,48796,40.95,W,2092,170.0,150.0,mastercard,166.0,debit,325.0,,120.0,anonymous.com,nan,0,3,1,2,1,3,1,,,30.0,,0.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,mobile,Dev_509,,nan,nan,nan
3000031,0,49159,48.55,W,1438,170.0,150.0,visa,166.0,debit,126.0,87.0,0.0,yahoo.com,anonymous.com,1,3,1,1,0,5,4,0.0,,0.0,1.0,,45.0,,1.0,0.0,1.0,0.0,0.0,0.0,50.0,nan,Dev_756,,nan,nan,nan
3000032,0,49289,58.79,W,1076,321.0,150.0,visa,226.0,debit,315.0,,0.0,gmail.com,anonymous.com,1,2,2,0,1,3,2,45.0,,2.0,90.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,mobile,Dev_38,,nan,nan,nan
3000033,0,55069,73.15,C,1399,224.0,150.0,visa,226.0,debit,126.0,87.0,,protonmail.com,nan,2,1,2,1,1,4,1,180.0,1.0,0.0,1.0,,5.0,,1.0,,,0.0,0.0,0.0,0.0,nan,Dev_412,,nan,nan,nan
3000034,0,61621,142.59,H,1373,321.0,150.0,visa,226.0,credit,126.0,87.0,120.0,hotmail.com,gmail.com,1,1,0,0,1,3,4,1.0,,7.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,nan,Dev_511,,NotFound,nan,nan
3000035,0,64833,40.88,H,2035,111.0,150.0,visa,166.0,debit,299.0,,0.0,gmail.com,hotmail.com,1,3,0,1,0,4,0,1.0,,,14.0,,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,250.0,nan,Dev_845,,NotFound,nan,nan
3000036,0,65539,77.71,W,2510,224.0,150.0,mastercard,102.0,debit,315.0,87.0,5.0,yahoo.com,nan,3,4,1,3,1,2,1,0.0,,7.0,,3.0,5.0,,2.0,0.0,,1.0,0.0,0.0,1000.0,nan,Dev_668,,Found,Windows 10,nan
3000037,0,65738,63.46,H,2818,170.0,150.0,visa,102.0,debit,204.0,87.0,5.0,gmail.com,nan,3,2,3,1,1,2,0,1.0,,,14.0,0.0,300.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,mobile,Dev_108,,NotFound,Mac OS X 10_12_6,nan
3000038,0,67978,24.08,W,1757,490.0,185.0,visa,166.0,credit,299.0,87.0,5.0,hotmail.com,yahoo.com,1,1,1,2,1,0,1,1.0,,0.0,,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,nan,Dev_870,-5.0,NotFound,nan,mobile safari 11.0
3000039,0,69105,58.85,W,1748,321.0,150.0,mastercard,226.0,credit,299.0,87.0,5.0,hotmail.com,gmail.com,0,1,0,1,0,1,0,1.0,,,14.0,30.0,45.0,,1.0,0.0,0.0,0.0,0.0,0.0,250.0,nan,Dev_741,,nan,Android 7.0,safari 11.0
3000040,1,69358,899.0,C,9779,490.0,150.0,visa,166.0,credit,299.0,87.0,,anonymous.com,yahoo.com,2,3,0,2,0,6,1,1.0,1.0,,14.0,,,,,,0.0,0.0,0.0,0.0,0.0,mobile,FraudRingDe,,nan,Windows 10,nan
3000041,1,70686,1400.0,C,9699,111.0,150.0,visa,166.0,debit,299.0,87.0,5.0,anonymous.com,hotmail.com,0,2,1,2,1,1,1,14.0,10.0,2.0,,3.0,45.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,250.0,mobile,FraudRingDe,,nan,Mac OS X 10_12_6,safari 11.0
3000042,0,70754,69.06,W,1206,321.0,150.0,mastercard,226.0,debit,126.0,87.0,5.0,hotmail.com,nan,3,0,1,3,1,3,2,180.0,,,,0.0,45.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,mobile,Dev_59,,NotFound,nan,chrome 63.0
3000043,0,75420,72.47,W,1340,224.0,150.0,mastercard,102.0,debit,299.0,87.0,0.0,hotmail.com,nan,2,2,1,0,0,5,2,,200.0,0.0,1.0,3.0,,1.0,1.0,0.0,,,0.0,0.0,50.0,mobile,Dev_489,,NotFound,nan,nan
3000044,0,76002,41.45,C,2643,490.0,150.0,mastercard,226.0,debit,315.0,87.0,,gmail.com,anonymous.com,2,1,1,0,2,2,6,45.0,0.0,7.0,90.0,30.0,300.0,,1.0,0.0,1.0,,0.0,0.0,50.0,desktop,Dev_251,,Found,Android 7.0,chrome 63.0
3000045,0,78113,270.42,W,1720,224.0,,visa,126.0,debit,441.0,87.0,,yahoo.com,yahoo.com,0,4,2,1,0,0,0,1.0,,2.0,,0.0,300.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,nan,Dev_193,,nan,nan,nan
3000046,0,78839,18.42,W,1310,224.0,150.0,discover,102.0,debit,126.0,87.0,5.0,yahoo.com,yahoo.com,3,2,1,1,0,0,0,14.0,,2.0,1.0,120.0,,1.0,0.0,0.0,,1.0,0.0,0.0,50.0,desktop,Dev_3,,NotFound,nan,nan
3000047,0,80266,30.17,W,2331,111.0,150.0,mastercard,226.0,debit,315.0,,12.0,gmail.com,nan,0,1,0,1,1,2,3,1.0,,,0.0,,,,0.0,1.0,1.0,,0.0,0.0,50.0,nan,Dev_531,,nan,nan,nan
3000048,0,81804,1419.36,C,2316,321.0,150.0,visa,226.0,debit,441.0,87.0,,hotmail.com,hotmail.com,1,2,0,1,2,2,1,0.0,200.0,2.0,14.0,30.0,0.0,,1.0,,0.0,,0.0,1.0,250.0,mobile,Dev_869,,Found,nan,nan
3000049,0,82201,21.29,H,1624,170.0,150.0,visa,226.0,debit,204.0,87.0,5.0,gmail.com,nan,2,4,0,0,1,2,0,5.0,200.0,7.0,,0.0,45.0,,0.0,1.0,0.0,0.0,0.0,0.0,50.0,nan,Dev_946,-5.0,nan,nan,mobile safari 11.0
3000050,0,88991,15.04,W,2399,111.0,150.0,visa,226.0,credit,204.0,87.0,12.0,yahoo.com,yahoo.com,1,2,0,0,0,4,1,180.0,10.0,,,120.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,Dev_721,,nan,iOS 11.1.2,mobile safari 11.0
3000051,0,91891,149.59,W,2550,111.0,150.0,visa,226.0,credit,299.0,87.0,0.0,gmail.com,yahoo.com,2,4,2,2,0,5,1,180.0,10.0,2.0,1.0,0.0,45.0,,1.0,1.0,0.0,,0.0,0.0,50.0,desktop,Dev_233,-10.0,nan,nan,nan
3000052,0,97344,6.79,W,2363,555.0,150.0,visa,166.0,debit,,87.0,,hotmail.com,nan,2,1,1,1,2,2,1,14.0,10.0,2.0,1.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,mobile,Dev_197,,nan,nan,nan
3000053,0,101722,51.48,W,1082,170.0,150.0,visa,226.0,credit,315.0,87.0,5.0,mail.com,gmail.com,0,2,2,2,1,1,0,14.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,250.0,desktop,Dev_566,,nan,Windows 10,mobile safari 11.0
3000054,0,103493,706.56,C,2600,490.0,150.0,visa,126.0,debit,299.0,87.0,5.0,yahoo.com,yahoo.com,1,3,1,1,1,1,1,,200.0,7.0,1.0,0.0,,1.0,0.0,1.0,0.0,,0.0,0.0,50.0,desktop,Dev_557,,Found,iOS 11.1.2,nan
3000055,0,108449,12.19,W,2475,555.0,150.0,visa,126.0,debit,126.0,87.0,,yahoo.com,anonymous.com,0,1,0,2,2,1,0,,60.0,,,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,1000.0,desktop,Dev_46,,nan,nan,nan
3000056,0,108629,7.54,W,2026,555.0,150.0,visa,166.0,debit,315.0,87.0,45.0,hotmail.com,mail.com,2,1,3,3,0,3,1,180.0,1.0,,1.0,120.0,0.0,,0.0,,0.0,0.0,0.0,0.0,50.0,nan,Dev_597,-10.0,nan,nan,nan
3000057,0,109053,12.82,C,2479,490.0,150.0,visa,226.0,debit,204.0,87.0,12.0,gmail.com,gmail.com,3,2,1,0,1,2,3,14.0,,0.0,14.0,30.0,300.0,1.0,0.0,1.0,1.0,,0.0,1.0,1000.0,desktop,Dev_75,,NotFound,iOS 11.1.2,ie 11.0
3000058,0,109142,179.14,W,1872,490.0,150.0,visa,166.0,debit,204.0,60.0,,gmail.com,nan,1,3,1,1,0,3,3,1.0,200.0,,14.0,30.0,300.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,nan,Dev_325,,NotFound,nan,nan
3000059,0,109907,229.81,C,1235,170.0,185.0,mastercard,166.0,credit,299.0,87.0,5.0,mail.com,yahoo.com,2,0,2,1,2,2,0,45.0,1.0,30.0,14.0,,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,desktop,Dev_909,,nan,Windows 10,nan
3000060,0,110863,37.95,C,1388,111.0,150.0,visa,,debit,204.0,87.0,,mail.com,gmail.com,0,1,0,3,1,2,0,14.0,60.0,7.0,0.0,3.0,0.0,1.0,,0.0,0.0,2.0,0.0,0.0,50.0,nan,Dev_209,,nan,nan,nan
3000061,0,111478,141.39,C,1392,321.0,150.0,visa,166.0,credit,126.0,87.0,,yahoo.com,yahoo.com,2,2,1,3,0,6,1,180.0,1.0,7.0,,30.0,45.0,1.0,0.0,0.0,0.0,,1.0,0.0,250.0,mobile,Dev_982,,nan,nan,nan
3000062,0,114908,307.75,W,2664,224.0,150.0,visa,,debit,325.0,87.0,,gmail.com,yahoo.com,1,3,0,1,5,4,0,0.0,60.0,30.0,,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,desktop,Dev_467,,Found,nan,nan
3000063,0,115765,476.32,W,2782,111.0,185.0,mastercard,226.0,debit,325.0,87.0,5.0,anonymous.com,gmail.com,2,0,0,2,1,2,1,1.0,,,14.0,,300.0,1.0,1.0,0.0,,0.0,0.0,,0.0,nan,Dev_466,,nan,nan,nan
3000064,0,116406,50.86,S,1746,321.0,150.0,visa,166.0,debit,315.0,87.0,0.0,gmail.com,gmail.com,1,3,0,1,2,3,0,0.0,0.0,2.0,,30.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,desktop,Dev_388,-10.0,NotFound,nan,nan
3000065,0,117926,5.3,W,1029,224.0,150.0,mastercard,102.0,debit,441.0,87.0,12.0,mail.com,anonymous.com,1,2,1,2,1,1,0,14.0,1.0,,90.0,,45.0,,1.0,0.0,0.0,1.0,0.0,0.0,50.0,desktop,Dev_799,,NotFound,nan,chrome 63.0
3000066,0,118221,27.03,W,2606,490.0,150.0,visa,126.0,debit,204.0,87.0,5.0,yahoo.com,nan,1,1,1,3,0,2,2,5.0,0.0,,14.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,nan,Dev_377,,nan,nan,nan
3000067,0,121371,41.7,W,1981,321.0,,visa,166.0,debit,204.0,87.0,0.0,gmail.com,nan,3,2,2,1,1,2,2,5.0,200.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,50.0,mobile,Dev_857,,nan,Android 7.0,nan
3000068,0,121521,50.16,W,2171,224.0,150.0,visa,226.0,credit,299.0,87.0,0.0,anonymous.com,hotmail.com,0,2,1,1,1,3,4,5.0,,2.0,1.0,120.0,,,0.0,0.0,0.0,,0.0,0.0,50.0,mobile,Dev_240,,nan,Android 7.0,nan
3000069,0,129946,54.24,R,1604,224.0,150.0,visa,166.0,debit,126.0,87.0,0.0,yahoo.com,gmail.com,1,0,2,3,0,2,2,5.0,60.0,,0.0,120.0,,1.0,0.0,1.0,0.0,,1.0,3.0,50.0,desktop,Dev_681,,Found,nan,safari 11.0
3000070,0,132822,228.33,W,1282,224.0,185.0,visa,226.0,debit,441.0,87.0,5.0,gmail.com,nan,3,0,1,1,0,4,2,,0.0,,14.0,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,mobile,Dev_935,,NotFound,iOS 11.1.2,nan
3000071,0,133252,270.93,W,2752,555.0,,mastercard,226.0,debit,299.0,,,yahoo.com,yahoo.com,1,1,1,2,0,5,3,5.0,,30.0,90.0,30.0,,1.0,0.0,,0.0,,0.0,0.0,50.0,mobile,Dev_862,,Found,nan,chrome 63.0
3000072,0,133262,55.21,H,1237,111.0,150.0,visa,126.0,credit,204.0,87.0,,protonmail.com,gmail.com,3,0,0,3,1,5,2,14.0,60.0,0.0,1.0,,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,nan,Dev_403,,nan,nan,nan
3000073,0,136547,223.26,R,2762,224.0,150.0,visa,226.0,debit,299.0,87.0,5.0,gmail.com,yahoo.com,0,1,1,1,1,3,3,45.0,,30.0,0.0,120.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,50.0,mobile,Dev_812,,nan,nan,nan
3000074,0,138932,98.83,W,1730,321.0,150.0,mastercard,126.0,debit,204.0,,,gmail.com,nan,1,0,0,1,0,4,0,0.0,200.0,7.0,14.0,,5.0,,0.0,,,,0.0,1.0,0.0,nan,Dev_651,,nan,nan,nan
3000075,0,141470,71.59,W,2342,224.0,150.0,visa,102.0,debit,204.0,87.0,120.0,anonymous.com,yahoo.com,0,2,0,0,1,4,4,45.0,60.0,,,,45.0,,0.0,0.0,0.0,0.0,0.0,1.0,,desktop,Dev_936,,nan,nan,chrome 63.0
3000076,0,144337,180.77,W,2994,170.0,150.0,visa,117.0,debit,299.0,87.0,12.0,hotmail.com,gmail.com,1,1,0,1,3,2,1,1.0,0.0,2.0,,,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,50.0,nan,Dev_241,,nan,nan,nan
3000077,0,144486,72.2,W,2360,170.0,150.0,visa,102.0,debit,299.0,87.0,0.0,mail.com,yahoo.com,1,3,1,1,2,2,0,5.0,0.0,,90.0,120.0,45.0,,0.0,,,0.0,0.0,0.0,0.0,desktop,Dev_237,,nan,Mac OS X 10_12_6,mobile safari 11.0
3000078,0,145348,641.36,H,1030,170.0,150.0,visa,226.0,debit,299.0,87.0,,gmail.com,protonmail.com,3,2,0,4,0,3,1,180.0,,0.0,14.0,0.0,300.0,1.0,1.0,0.0,,2.0,0.0,1.0,1000.0,nan,Dev_137,,nan,nan,chrome 63.0
3000079,0,145587,13.7,W,1977,170.0,185.0,visa,166.0,debit,315.0,87.0,,yahoo.com,nan,2,2,1,1,0,3,3,1.0,,,14.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,250.0,mobile,Dev_884,,Found,Windows 10,chrome 63.0
3000080,0,149452,37.84,W,1914,490.0,150.0,visa,166.0,debit,325.0,87.0,12.0,gmail.com,gmail.com,1,3,2,3,0,3,4,180.0,,2.0,14.0,0.0,300.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,Dev_489,,nan,nan,nan
3000081,0,151349,58.02,W,2649,224.0,150.0,visa,226.0,debit,126.0,87.0,12.0,mail.com,gmail.com,0,4,0,2,0,3,2,0.0,1.0,0.0,90.0,,5.0,1.0,0.0,2.0,,1.0,0.0,1.0,,nan,Dev_385,,nan,nan,nan
3000082,0,152130,108.14,W,2637,170.0,185.0,discover,226.0,debit,325.0,87.0,,gmail.com,hotmail.com,1,1,0,1,0,2,2,1.0,60.0,0.0,0.0,30.0,300.0,,0.0,,0.0,0.0,,0.0,0.0,desktop,Dev_951,,nan,Android 7.0,nan
3000083,0,152257,269.01,W,2628,170.0,185.0,american express,166.0,debit,204.0,87.0,0.0,gmail.com,gmail.com,0,0,0,3,1,4,2,1.0,10.0,30.0,0.0,,,,0.0,0.0,,0.0,1.0,0.0,1000.0,nan,Dev_655,,nan,iOS 11.1.2,chrome 63.0
3000084,0,152981,64.92,W,1206,111.0,150.0,visa,226.0,credit,204.0,87.0,12.0,yahoo.com,nan,1,3,0,0,1,3,1,,60.0,7.0,1.0,30.0,,1.0,0.0,0.0,1.0,0.0,0.0,3.0,250.0,desktop,Dev_44,,Found,nan,nan
3000085,0,153745,13.95,C,2981,555.0,185.0,visa,166.0,debit,315.0,87.0,0.0,anonymous.com,nan,2,1,0,4,0,3,2,180.0,,7.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,50.0,mobile,Dev_942,,nan,iOS 11.1.2,nan
3000086,0,156287,168.47,W,1902,224.0,150.0,visa,226.0,debit,,87.0,0.0,gmail.com,gmail.com,0,1,2,2,0,1,2,1.0,,,,30.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,mobile,Dev_168,,nan,Windows 10,nan
3000087,0,158259,153.0,R,2252,,150.0,visa,226.0,debit,126.0,87.0,45.0,gmail.com,nan,1,1,0,5,2,2,1,0.0,0.0,0.0,1.0,,,1.0,,0.0,,1.0,1.0,0.0,1000.0,mobile,Dev_299,-5.0,NotFound,nan,nan
3000088,0,162501,7.88,W,2956,170.0,150.0,mastercard,117.0,debit,315.0,,5.0,gmail.com,yahoo.com,2,1,0,0,1,5,2,5.0,,7.0,1.0,,0.0,,0.0,0.0,,,1.0,0.0,0.0,nan,Dev_893,-10.0,nan,nan,nan
3000089,0,163743,66.41,W,1582,490.0,150.0,visa,166.0,debit,315.0,87.0,,anonymous.com,yahoo.com,0,2,0,2,0,3,0,,10.0,30.0,1.0,,300.0,,0.0,1.0,0.0,,0.0,0.0,250.0,nan,Dev_881,,nan,Android 7.0,mobile safari 11.0
3000090,0,163990,11.6,W,2365,170.0,150.0,mastercard,226.0,credit,315.0,87.0,,anonymous.com,yahoo.com,2,1,1,1,2,2,1,5.0,0.0,,1.0,30.0,,,2.0,0.0,0.0,,0.0,0.0,50.0,desktop,Dev_838,-5.0,nan,Windows 10,nan
3000091,0,166418,32.1,W,1459,111.0,150.0,visa,226.0,debit,126.0,87.0,,gmail.com,gmail.com,3,1,0,1,3,3,4,0.0,10.0,,,,45.0,,,0.0,,1.0,0.0,0.0,50.0,desktop,Dev_697,,nan,Windows 10,chrome 63.0
3000092,0,169198,24.7,W,1135,111.0,150.0,visa,102.0,debit,315.0,87.0,12.0,gmail.com,nan,0,6,1,2,0,4,1,45.0,10.0,,0.0,120.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1000.0,desktop,Dev_182,,nan,nan,safari 11.0
3000093,0,170799,162.42,W,2976,321.0,185.0,visa,126.0,debit,126.0,87.0,5.0,protonmail.com,gmail.com,0,1,0,2,0,4,2,5.0,1.0,,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,Dev_466,,nan,nan,safari 11.0
3000094,0,173664,75.83,C,1977,170.0,150.0,mastercard,166.0,debit,126.0,87.0,120.0,hotmail.com,gmail.com,1,2,1,2,0,3,2,0.0,60.0,7.0,1.0,,,,1.0,0.0,0.0,1.0,1.0,,0.0,mobile,Dev_212,,nan,nan,nan
3000095,0,174987,16.21,C,1283,224.0,150.0,american express,102.0,credit,315.0,87.0,0.0,gmail.com,nan,2,2,2,0,2,1,1,180.0,,,,30.0,5.0,,0.0,,,1.0,1.0,0.0,0.0,desktop,Dev_280,-10.0,nan,Windows 10,nan
