device_id,device_type
device_000235,customer_service_terminal
device_000236,customer_service_terminal
device_000237,desktop
device_000238,corporate_workstation
device_000239,corporate_workstation
device_000240,corporate_workstation
device_000241,tablet
device_000242,tablet
device_000243,corporate_workstation
device_000244,customer_service_terminal
device_000245,mobile
device_000246,corporate_workstation
device_000247,mobile
device_000248,corporate_workstation
device_000249,mobile
device_000250,customer_service_terminal
device_000251,tablet
device_000252,corporate_workstation
device_000253,corporate_workstation
device_000254,customer_service_terminal
device_000255,desktop
device_000256,corporate_workstation
device_000257,mobile
device_000258,customer_service_terminal
device_000259,desktop
device_000260,corporate_workstation
device_000261,corporate_workstation
device_000262,tablet
device_000263,desktop
device_000264,customer_service_terminal
device_000265,mobile
device_000266,corporate_workstation
device_000267,customer_service_terminal
device_000268,tablet
device_000269,corporate_workstation
device_000270,desktop
device_000271,customer_service_terminal
device_000272,mobile
device_000273,tablet
device_000274,customer_service_terminal
device_000275,corporate_workstation
device_000276,mobile
device_000277,corporate_workstation
device_000278,corporate_workstation
device_000279,desktop
device_000280,desktop
device_000281,corporate_workstation
device_000282,tablet
device_000283,desktop
device_000284,desktop
device_000285,desktop
device_000286,desktop
device_000287,mobile
device_000288,corporate_workstation
device_000289,mobile
device_000290,customer_service_terminal
device_000291,customer_service_terminal
device_000292,customer_service_terminal
device_000293,mobile
device_000294,corporate_workstation
device_000295,customer_service_terminal
device_000296,desktop
device_000297,customer_service_terminal
device_000298,tablet
device_000299,desktop
device_000300,desktop
device_000301,desktop
device_000302,customer_service_terminal
device_000303,desktop
device_000304,tablet
device_000305,mobile
device_000306,tablet
device_000307,corporate_workstation
device_000308,desktop
device_000309,tablet
device_000310,customer_service_terminal
device_000311,corporate_workstation
device_000312,tablet
device_000313,desktop
device_000314,customer_service_terminal
device_000315,desktop
device_000316,corporate_workstation
device_000317,tablet
device_000318,desktop
device_000319,corporate_workstation
device_000320,customer_service_terminal
device_000321,tablet
device_000322,tablet
device_000323,corporate_workstation
device_000324,tablet
device_000325,customer_service_terminal
device_000326,customer_service_terminal
device_000327,tablet
device_000328,desktop
device_000329,desktop
device_000330,customer_service_terminal
device_000331,desktop
device_000332,corporate_workstation
device_000333,mobile
device_000334,tablet
device_000335,corporate_workstation
device_000336,customer_service_terminal
device_000337,mobile
device_000338,customer_service_terminal
device_000339,mobile
device_000340,corporate_workstation
device_000341,mobile
device_000342,desktop
device_000343,corporate_workstation
device_000344,tablet
device_000345,customer_service_terminal
device_000346,desktop
device_000347,tablet
device_000348,mobile
device_000349,desktop
device_000350,tablet
device_000351,corporate_workstation
device_000352,mobile
device_000353,tablet
device_000354,mobile
device_000355,tablet
device_000356,customer_service_terminal
device_000357,corporate_workstation
device_000358,desktop
device_000359,tablet
device_000360,mobile
device_000361,corporate_workstation
device_000362,desktop
device_000363,mobile
device_000364,corporate_workstation
device_000365,mobile
device_000366,corporate_workstation
device_000367,desktop
device_000368,desktop
device_000369,mobile
device_000370,corporate_workstation
device_000371,tablet
device_000372,desktop
device_000373,tablet
device_000374,tablet
device_000375,customer_service_terminal
device_000376,mobile
device_000377,mobile
device_000378,mobile
device_000379,corporate_workstation
device_000380,desktop
device_000381,desktop
device_000382,customer_service_terminal
device_000383,customer_service_terminal
device_000384,customer_service_terminal
device_000385,tablet
device_000386,mobile
device_000387,corporate_workstation
device_000388,desktop
device_000389,corporate_workstation
device_000390,mobile
device_000391,mobile
device_000392,desktop
device_000393,tablet
device_000394,customer_service_terminal
device_000395,tablet
device_000396,mobile
device_000397,mobile
device_000398,tablet
device_000399,customer_service_terminal
device_000400,customer_service_terminal
device_000401,mobile
device_000402,customer_service_terminal
device_000403,customer_service_terminal
device_000404,desktop
device_000405,desktop
device_000406,corporate_workstation
device_000407,tablet
device_000408,mobile
device_000409,customer_service_terminal
device_000410,corporate_workstation
device_000411,desktop
device_000412,customer_service_terminal
device_000413,tablet
device_000414,desktop
device_000415,mobile
device_000416,customer_service_terminal
device_000417,corporate_workstation
device_000418,mobile
device_000419,customer_service_terminal
device_000420,customer_service_terminal
device_000421,customer_service_terminal
device_000422,customer_service_terminal
device_000423,customer_service_terminal
device_000424,mobile
device_000425,tablet
device_000426,tablet
device_000427,mobile
device_000428,tablet
device_000429,corporate_workstation
device_000430,corporate_workstation
device_000431,mobile
device_000432,corporate_workstation
device_000433,mobile
device_000434,corporate_workstation
device_000435,desktop
device_000436,mobile
device_000437,customer_service_terminal
device_000438,corporate_workstation
device_000439,desktop
device_000440,mobile
device_000441,corporate_workstation
device_000442,customer_service_terminal
device_000443,corporate_workstation
device_000444,desktop
device_000445,tablet
device_000446,tablet
device_000447,desktop
device_000448,desktop
device_000449,mobile
device_000450,tablet
device_000451,mobile
device_000452,corporate_workstation
device_000453,desktop
device_000454,mobile
device_000455,desktop
device_000456,mobile
device_000457,corporate_workstation
device_000458,corporate_workstation
device_000459,customer_service_terminal
device_000460,tablet
device_000461,customer_service_terminal
device_000462,tablet
device_000463,corporate_workstation
device_000464,mobile
device_000465,desktop
device_000466,corporate_workstation
device_000467,corporate_workstation
device_000468,mobile
device_000469,corporate_workstation
device_000470,corporate_workstation
device_000471,mobile
device_000472,corporate_workstation
device_000473,tablet
device_000474,tablet
device_000475,tablet
device_000476,tablet
device_000477,corporate_workstation
device_000478,desktop
device_000479,tablet
device_000480,tablet
device_000481,corporate_workstation
device_000482,customer_service_terminal
device_000483,corporate_workstation
device_000484,mobile
device_000485,tablet
device_000486,mobile
device_000487,tablet
device_000488,customer_service_terminal
device_000489,desktop
device_000490,customer_service_terminal
device_000491,corporate_workstation
device_000492,corporate_workstation
device_000493,mobile
device_000494,mobile
device_000495,corporate_workstation
device_000496,corporate_workstation
device_000497,corporate_workstation
device_000498,tablet
device_000499,customer_service_terminal
device_000500,tablet
device_000501,desktop
device_000502,tablet
device_000503,corporate_workstation
device_000504,tablet
device_000505,mobile
device_000506,corporate_workstation
device_000507,customer_service_terminal
device_000508,tablet
device_000509,corporate_workstation
device_000510,mobile
device_000511,mobile
device_000512,tablet
device_000513,corporate_workstation
device_000514,customer_service_terminal
device_000515,desktop
device_000516,mobile
device_000517,desktop
device_000518,customer_service_terminal
device_000519,tablet
device_000520,mobile
device_000521,desktop
device_000522,mobile
device_000523,desktop
device_000524,corporate_workstation
device_000525,corporate_workstation
device_000526,tablet
device_000527,customer_service_terminal
device_000528,mobile
device_000529,customer_service_terminal
device_000530,desktop
device_000531,tablet
device_000532,corporate_workstation
device_000533,corporate_workstation
device_000534,tablet
device_000535,mobile
device_000536,customer_service_terminal
device_000537,desktop
device_000538,customer_service_terminal
device_000539,corporate_workstation
device_000540,tablet
device_000541,corporate_workstation
device_000542,corporate_workstation
device_000543,desktop
device_000544,mobile
device_000545,mobile
device_000546,desktop
device_000547,tablet
device_000548,customer_service_terminal
device_000549,tablet
device_000550,customer_service_terminal
device_000551,mobile
device_000552,corporate_workstation
device_000553,corporate_workstation
device_000554,tablet
device_000555,desktop
device_000556,customer_service_terminal
device_000557,corporate_workstation
device_000558,tablet
device_000559,desktop
device_000560,mobile
device_000561,desktop
device_000562,mobile
device_000563,tablet
device_000564,desktop
device_000565,tablet
device_000566,mobile
device_000567,corporate_workstation
device_000568,corporate_workstation
device_000569,mobile
device_000570,customer_service_terminal
device_000571,customer_service_terminal
device_000572,corporate_workstation
device_000573,corporate_workstation
device_000574,desktop
device_000575,desktop
device_000576,corporate_workstation
device_000577,customer_service_terminal
device_000578,desktop
device_000579,mobile
device_000580,desktop
device_000581,desktop
device_000582,desktop
device_000583,tablet
device_000584,mobile
device_000585,corporate_workstation
